source,target
Rv0023,Rv2700
Rv0023,Rv2710
Rv0023,Rv2711
Rv0023,Rv2712c
Rv0023,Rv2713
Rv0023,Rv2714
Rv0023,Rv2717c
Rv0023,Rv2718c
Rv0023,Rv2720
Rv0023,Rv2721c
Rv0023,Rv2722
Rv0023,Rv2723
Rv0023,Rv2734
Rv0023,Rv2735c
Rv0023,Rv2736c
Rv0023,Rv2737A
Rv0023,Rv2737c
Rv0023,Rv2741
Rv0023,Rv2755c
Rv0023,Rv2756c
Rv0023,Rv2763c
Rv0023,Rv2764c
Rv0023,Rv2765
Rv0023,Rv2779c
Rv0023,Rv2780
Rv0023,Rv2781c
Rv0023,Rv2808
Rv0023,Rv2809
Rv0023,Rv2814c
Rv0023,Rv2816c
Rv0023,Rv2819c
Rv0023,Rv2820c
Rv0023,Rv2821c
Rv0023,Rv2823c
Rv0023,Rv2824c
Rv0023,Rv2832c
Rv0023,Rv2833c
Rv0023,Rv2834c
Rv0023,Rv2846c
Rv0023,Rv2847c
Rv0023,Rv2848c
Rv0023,Rv2862c
Rv0023,Rv2863
Rv0023,Rv2872
Rv0023,Rv2873
Rv0023,Rv2874
Rv0023,Rv2876
Rv0023,Rv2877c
Rv0023,Rv2879c
Rv0023,Rv2880c
Rv0023,Rv2881c
Rv0023,Rv2882c
Rv0023,Rv2883c
Rv0023,Rv2887
Rv0023,Rv2888c
Rv0023,Rv2889c
Rv0023,Rv2899c
Rv0023,Rv2900c
Rv0023,Rv2901c
Rv0023,Rv2902c
Rv0023,Rv2903c
Rv0023,Rv2904c
Rv0023,Rv2905
Rv0023,Rv2919c
Rv0023,Rv2920c
Rv0023,Rv2922c
Rv0023,Rv2925c
Rv0023,Rv2926c
Rv0023,Rv2934
Rv0023,Rv2935
Rv0023,Rv2936
Rv0023,Rv2937
Rv0023,Rv2938
Rv0023,Rv2939
Rv0023,Rv2940c
Rv0023,Rv2941
Rv0023,Rv2945c
Rv0023,Rv2946c
Rv0023,Rv2948c
Rv0023,Rv2949c
Rv0023,Rv2951c
Rv0023,Rv2952
Rv0023,Rv2953
Rv0023,Rv2965c
Rv0023,Rv2966c
Rv0023,Rv2967c
Rv0023,Rv2968c
Rv0023,Rv2969c
Rv0023,Rv2973c
Rv0023,Rv2990c
Rv0023,Rv2991
Rv0023,Rv3001c
Rv0023,Rv3002c
Rv0023,Rv3003c
Rv0023,Rv3004
Rv0023,Rv3015c
Rv0023,Rv3016
Rv0023,Rv3021c
Rv0023,Rv3022A
Rv0023,Rv3024c
Rv0023,Rv3025c
Rv0023,Rv3032
Rv0023,Rv3033
Rv0023,Rv3034c
Rv0023,Rv3036c
Rv0023,Rv3037c
Rv0023,Rv3039c
Rv0023,Rv3040c
Rv0023,Rv3041c
Rv0023,Rv3042c
Rv0023,Rv3047c
Rv0023,Rv3048c
Rv0023,Rv3049c
Rv0023,Rv3050c
Rv0023,Rv3051c
Rv0023,Rv3052c
Rv0023,Rv3057c
Rv0023,Rv3064c
Rv0023,Rv3065
Rv0023,Rv3066
Rv0023,Rv3080c
Rv0023,Rv3088
Rv0023,Rv3089
Rv0023,Rv3097c
Rv0023,Rv3098c
Rv0023,Rv3100c
Rv0023,Rv3101c
Rv0023,Rv3102c
Rv0023,Rv3103c
Rv0023,Rv3104c
Rv0023,Rv3105c
Rv0023,Rv3106
Rv0023,Rv3107c
Rv0023,Rv3121
Rv0023,Rv3123
Rv0023,Rv3124
Rv0023,Rv3125c
Rv0023,Rv3138
Rv0023,Rv3139
Rv0023,Rv3140
Rv0023,Rv3142c
Rv0023,Rv3143
Rv0023,Rv3147
Rv0023,Rv3148
Rv0023,Rv3149
Rv0023,Rv3150
Rv0023,Rv3151
Rv0023,Rv3152
Rv0023,Rv3153
Rv0023,Rv3154
Rv0023,Rv3155
Rv0023,Rv3156
Rv0023,Rv3157
Rv0023,Rv3158
Rv0023,Rv3159c
Rv0023,Rv3176c
Rv0023,Rv3177
Rv0023,Rv3178
Rv0023,Rv3179
Rv0023,Rv3180c
Rv0023,Rv3181c
Rv0023,Rv3182
Rv0023,Rv3183
Rv0023,Rv3190c
Rv0023,Rv3191c
Rv0023,Rv3193c
Rv0023,Rv3194c
Rv0023,Rv3195
Rv0023,Rv3197A
Rv0023,Rv3199c
Rv0023,Rv3200c
Rv0023,Rv3205c
Rv0023,Rv3206c
Rv0023,Rv3216
Rv0023,Rv3228
Rv0023,Rv3229c
Rv0023,Rv3230c
Rv0023,Rv3231c
Rv0023,Rv3232c
Rv0023,Rv3233c
Rv0023,Rv3236c
Rv0023,Rv3238c
Rv0023,Rv3239c
Rv0023,Rv3240c
Rv0023,Rv3241c
Rv0023,Rv3264c
Rv0023,Rv3269
Rv0023,Rv3270
Rv0023,Rv3274c
