source,target
SPT_0386,SPT_0412
SPT_2216,SPT_2215
SPT_2216,SPT_2217
SPT_1828,SPT_2068
SPT_2037,SPT_2038
SPT_2037,SPT_1744
SPT_0354,SPT_0751
SPT_0354,SPT_0608
SPT_0699,SPT_0670
SPT_1622,SPT_1047
SPT_1044,SPT_1043
SPT_0299,SPT_0293
SPT_2020,SPT_0298
SPT_2020,SPT_0515
SPT_2020,SPT_0297
SPT_2020,SPT_2019
SPT_2020,SPT_0358
SPT_2020,SPT_2018
SPT_0298,SPT_0515
SPT_0298,SPT_0297
SPT_0298,SPT_2019
SPT_0298,SPT_0358
SPT_0298,SPT_2018
SPT_2038,SPT_1744
SPT_0515,SPT_0297
SPT_0515,SPT_2019
SPT_0515,SPT_0358
SPT_0515,SPT_2018
SPT_0297,SPT_2019
SPT_0297,SPT_0358
SPT_0297,SPT_2018
SPT_2019,SPT_0358
SPT_2019,SPT_2018
SPT_0397,SPT_0399
SPT_0397,SPT_0398
SPT_0358,SPT_2018
SPT_0764,SPT_0765
SPT_0356,SPT_0360
SPT_0356,SPT_0296
SPT_0356,SPT_2020
SPT_0356,SPT_0298
SPT_0356,SPT_0515
SPT_0356,SPT_0297
SPT_0356,SPT_2019
SPT_0356,SPT_0358
SPT_0356,SPT_2018
SPT_0360,SPT_0296
SPT_0360,SPT_2020
SPT_0360,SPT_0298
SPT_0360,SPT_0515
SPT_0360,SPT_0297
SPT_0360,SPT_2019
SPT_0360,SPT_0358
SPT_0360,SPT_2018
SPT_1995,SPT_1839
SPT_0916,SPT_0684
SPT_0296,SPT_2020
SPT_0296,SPT_0298
SPT_0296,SPT_0515
SPT_0296,SPT_0297
SPT_0296,SPT_2019
SPT_0296,SPT_0358
SPT_0296,SPT_2018
SPT_1559,SPT_1324
SPT_1559,SPT_1557
SPT_1210,SPT_1878
SPT_1837,SPT_1521
SPT_1837,SPT_2063
SPT_1837,SPT_1834
SPT_1837,SPT_1990
SPT_2177,SPT_0328
SPT_2177,SPT_0100
SPT_2177,SPT_0101
SPT_1329,SPT_2006
SPT_1329,SPT_1612
SPT_1329,SPT_0412
SPT_0328,SPT_0100
SPT_0328,SPT_0101
SPT_1466,SPT_0410
SPT_1466,SPT_1813
SPT_1466,SPT_1811
SPT_1466,SPT_1809
SPT_1466,SPT_1810
SPT_0098,SPT_2174
SPT_0098,SPT_0099
SPT_0098,SPT_0329
SPT_0098,SPT_0327
SPT_0098,SPT_2176
SPT_0098,SPT_2177
SPT_0098,SPT_0328
SPT_0098,SPT_0100
SPT_0098,SPT_0101
SPT_0470,SPT_0318
SPT_2174,SPT_0099
SPT_2174,SPT_0329
SPT_2174,SPT_0327
SPT_2174,SPT_2176
SPT_2174,SPT_2177
SPT_2174,SPT_0328
SPT_2174,SPT_0100
