Gene.NewLT,mean_CTRL,Total_CTRL,sd_CTRL,se_CTRL,M_CTRL,mean.EXPT,Total_EXPT,sd_EXPT,se_EXPT,M_EXPT,Value,Df,tstat,pval,Sig,Gene
SPT_RS04405,0.67951996,36,0.41972714,0.069954523,NA,0.840539807,36,0.398037567,0.066339595,NA,-0.161019847,70,1.1814145,0.241436346,FALSE,SPT_0889
SPT_RS04415,0.692572445,13,0.498282025,0.138198568,NA,0.60098707,13,0.497735336,0.138046944,NA,0.091585375,24,-0.331536155,0.743117212,FALSE,SPT_0890
SPT_RS04420,0.404550091,10,0.52482626,0.165964636,NA,0.37096762,10,0.499068223,0.157819229,NA,0.033582471,18,-0.103718792,0.918539404,FALSE,SPT_0891
SPT_RS04425,0.613447138,42,0.496393287,0.076595147,NA,0.748493485,42,0.458023755,0.0706746,NA,-0.135046347,82,0.916999923,0.361831847,FALSE,SPT_0892
SPT_RS04430,0.709755905,13,0.504049355,0.139798138,NA,0.886770637,13,0.400618874,0.111111684,NA,-0.177014732,24,0.705491442,0.487296126,FALSE,SPT_0893
SPT_RS04435,0.581148785,82,0.521837535,0.057627315,NA,0.608901169,82,0.497418678,0.054930704,NA,-0.027752384,162,0.246560698,0.805560376,FALSE,SPT_0894
SPT_RS04440,0.533726217,36,0.517181934,0.086196989,NA,0.566434607,36,0.515057148,0.085842858,NA,-0.03270839,70,0.190121011,0.849764574,FALSE,SPT_0895
SPT_RS04445,0.714481549,33,0.458801411,0.079867074,NA,0.763739916,33,0.441842499,0.076914907,NA,-0.049258367,64,0.314183855,0.754403286,FALSE,SPT_0896
SPT_RS04450,0.642539626,34,0.490281682,0.084082615,NA,0.646414622,34,0.488071439,0.083703561,NA,-0.003874996,66,0.023094844,0.981644302,FALSE,SPT_0897
SPT_RS04455,0.617849259,21,0.498472729,0.108775667,NA,0.651015098,21,0.474073079,0.103451227,NA,-0.033165839,40,0.156275382,0.876602032,FALSE,SPT_0898
SPT_RS04460,0.62479827,38,0.497124605,0.08064426,NA,0.732922974,38,0.430133295,0.069776834,NA,-0.108124704,74,0.718813439,0.474519582,FALSE,SPT_0899
SPT_RS04465,0.497754873,21,0.544863361,0.118898933,NA,0.503395684,21,0.49674466,0.108398572,NA,-0.005640812,40,0.024816865,0.980324434,FALSE,SPT_0900
SPT_RS04470,0.592076431,7,0.555745318,0.210051986,NA,0.593053867,7,0.555219465,0.209853233,NA,-0.000977435,12,0.002327752,0.998180974,FALSE,SPT_0901
SPT_RS04475,0.521050979,28,0.472129187,0.08922403,NA,0.634891785,28,0.487127269,0.092058401,NA,-0.113840807,54,0.627974849,0.532667318,FALSE,SPT_0902
SPT_RS04480,0.59635905,10,0.517024239,0.16349742,NA,0.732270625,10,0.512174213,0.161963707,NA,-0.135911575,18,0.417596952,0.681180745,FALSE,SPT_0903
SPT_RS04485,0.709405939,19,0.501088361,0.114957554,NA,0.67399292,19,0.475721673,0.109138037,NA,0.035413019,36,-0.158026398,0.875319094,FALSE,SPT_0904
SPT_RS04490,0.542291668,46,0.510320791,0.075242696,NA,0.700594943,46,0.456058274,0.067242124,NA,-0.158303275,90,1.111018528,0.269519704,FALSE,SPT_0905
SPT_RS04495,0.317231857,3,0.549461694,0.317231857,NA,0.261078917,3,0.45220195,0.261078917,NA,0.05615294,4,-0.097098208,0.92731903,FALSE,SPT_0906
SPT_RS04500,0.327981961,8,0.453097531,0.160194168,NA,0.221908184,8,0.412729909,0.145922059,NA,0.106073777,14,-0.346514714,0.734108821,FALSE,SPT_0907
SPT_RS04505,0,1,NA,NA,NA,0,1,NA,NA,NA,0,0,NA,NA,FALSE,SPT_0908
SPT_RS04510,0.21072996,8,0.395374087,0.139785849,NA,0.371105437,8,0.515694234,0.182325445,NA,-0.160375477,14,0.4978884,0.626291999,FALSE,SPT_0909
SPT_RS04515,0,5,0,0,NA,0,5,0,0,NA,0,8,NA,NA,FALSE,SPT_0910
SPT_RS04520,0.25348354,8,0.473706251,0.167480451,NA,0.49154249,8,0.419105935,0.148176324,NA,-0.23805895,14,0.754170252,0.463244162,FALSE,SPT_0911
SPT_RS04530,0.603427697,16,0.498792806,0.124698201,NA,0.568483206,16,0.518773225,0.129693306,NA,0.034944491,30,-0.137365008,0.891660082,FALSE,SPT_0914
SPT_RS04540,0.586648229,31,0.514786301,0.092458349,NA,0.687956014,31,0.485051513,0.087117824,NA,-0.101307785,60,0.564149372,0.574755332,FALSE,SPT_0916
SPT_RS04545,0.575786008,60,0.521153603,0.067280641,NA,0.666146814,60,0.480198245,0.061993327,NA,-0.090360806,118,0.698986868,0.485935689,FALSE,SPT_0917
SPT_RS04550,0.552093628,43,0.502302875,0.07660047,NA,0.583737293,43,0.503177302,0.076733819,NA,-0.031643665,84,0.206370442,0.837000944,FALSE,SPT_0918
SPT_RS04555,0.624266077,48,0.500574855,0.072251757,NA,0.675794479,48,0.485784675,0.070116978,NA,-0.051528402,94,0.361936222,0.718212057,FALSE,SPT_0919
SPT_RS04560,0,1,NA,NA,NA,0,1,NA,NA,NA,0,0,NA,NA,FALSE,SPT_0920
SPT_RS04565,0,2,0,0,NA,0,2,0,0,NA,0,2,NA,NA,FALSE,SPT_0921
SPT_RS04570,0.646282777,151,0.50707327,0.041265038,NA,0.631706158,151,0.495733464,0.040342217,NA,0.014576619,300,-0.178619157,0.858357314,FALSE,SPT_0922
SPT_RS04575,0.483160936,27,0.517282649,0.099551092,NA,0.602817646,27,0.513277364,0.098780275,NA,-0.11965671,52,0.603317123,0.548920419,FALSE,SPT_0923
SPT_RS04590,0.661237723,9,0.497519085,0.165839695,NA,0.782918474,9,0.445427353,0.148475784,NA,-0.121680751,16,0.387129361,0.703761263,FALSE,SPT_0926
SPT_RS04595,0.603742106,2,0.853820274,0.603742106,NA,0.505595401,2,0.715019873,0.505595401,NA,0.098146705,2,-0.088473259,0.937562023,FALSE,SPT_0927
SPT_RS04600,0.468230258,12,0.454922557,0.13132483,NA,0.184836035,12,0.343736355,0.099228139,NA,0.283394223,22,-1.229193554,0.231984719,FALSE,SPT_0928
SPT_RS04605,0.458379325,4,0.529303383,0.264651692,NA,0.215355686,4,0.430711373,0.215355686,NA,0.243023639,6,-0.506291465,0.630712659,FALSE,SPT_0929
SPT_RS04610,0.508956361,16,0.530109057,0.132527264,NA,0.567509304,16,0.518384215,0.129596054,NA,-0.058552943,30,0.223379376,0.824754377,FALSE,SPT_0930
