"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.WT4.KAN210min.a","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.WT4.KAN210min.b","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.WT4.KAN210min.c","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.WT4.NDC210min.a","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.WT4.NDC210min.b","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.WT4.NDC210min.c"
"1834","SP_0664",15758.3780863099,-0.0482344252141943,0.147356603939127,-0.327331276134187,0.743417339288861,0.860940127174419,12751.2686918541,16250.6456596999,17470.2769919916,16684.1405661232,14569.6295814831,16824.3070267075
"1835","SP_1086",75.003264751475,-0.106681305700176,0.326949149412933,-0.326293265762374,0.744202482811786,0.860940127174419,96.5876831143763,75.5161022007484,45.9919822302016,76.4053065059764,86.7552826035623,68.763231853985
"1836","SP_1813",37.7790935773257,0.153430464071971,0.469531727608823,0.326773368124331,0.743839303759195,0.860940127174419,20.3342490767108,60.832415661714,38.573920580169,33.5720286162624,16.6500037319968,56.711943797101
"1837","SP_0771",929.945077278191,0.0541816502970801,0.166981972907383,0.324476045849166,0.745577654723818,0.861658629405384,1050.60286896339,763.55170002979,1029.62695702451,951.593362847161,823.737026740894,960.558548063399
"1838","SP_RS10200",454.383316314892,0.0639467951503948,0.197123045511879,0.324400401710216,0.745634915653058,0.861658629405384,582.915140199043,399.606040812294,413.927840071814,463.062463672584,492.489584072748,374.298829060867
"1839","SP_0261",404.06964102552,0.0651561896446995,0.202219575453804,0.322205154958324,0.747297279477292,0.863110071565943,320.264422958195,447.85243944055,470.305108612061,324.143724570809,410.992197384553,450.859953186953
"1840","SP_2098",254.140992517726,-0.0674362553987347,0.209821319766022,-0.321398490267505,0.747908427075105,0.863346466906262,245.705509676922,270.599366219348,226.992686490995,319.513099934083,236.605316191534,225.429976593477
"1841","SP_RS03180",50.6194870808522,-0.1244154236929,0.391024237828328,-0.318178290900529,0.750349699099515,0.864285662086426,54.2246642045621,62.9300851672903,28.9304404351268,41.6756217305326,42.9394833088339,73.0166276387676
"1842","SP_1627",4.01290779577576,0.236834569697522,0.743469938836269,0.318552986914618,0.750065508434038,0.864285662086426,6.77808302557027,1.04883475278817,5.93444932002601,3.47296847754438,6.13421190126198,0.708899297463763
"1843","SP_1917",6.0749195536511,-0.231495563875887,0.727035965472444,-0.318410057919839,0.750173909874083,0.864285662086426,0,4.19533901115269,11.1270924750488,11.5765615918146,1.75263197178914,7.79789227210139
"1844","SP_2112",254.525462569958,0.0682947563972688,0.214291423633243,0.318700371855079,0.749953732645941,0.864285662086426,298.235653125092,228.645976107822,255.181320761118,297.517632909635,246.244792036374,201.327400479709
