"","Gene","baseMean","Value","lfcSE","stat","pvalue","padj","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.WT4.KAN240min.a","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.WT4.KAN240min.b","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.WT4.KAN240min.c","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.WT4.NDC240min.a","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.WT4.NDC240min.b","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.WT4.NDC240min.c"
"1793","SP_1189",257.458992326994,-0.198899558649716,0.230633748300984,-0.862404397079588,0.388465021727511,0.4798940452462,270.872801664408,235.808958544226,214.017698328757,198.70089306612,331.213320621826,294.140281736626
"1794","SP_0537",67.0730122452892,0.318545532721065,0.3698964024812,0.861174995442824,0.389141669422954,0.480461983150414,97.2121901443693,69.7659640663391,57.5263972728779,73.3300914886873,69.998691471623,34.6047390278383
"1795","SP_2186",140.465198956641,0.205236432801344,0.239055265893886,0.858531319249192,0.390599144138798,0.481992815747877,155.728265765252,141.624907054668,156.49130105588,104.081420177492,153.655664206002,131.209635480554
"1796","SP_1452",121.459453204407,-0.2356518857581,0.276493432035951,-0.852287463115795,0.394054562573957,0.485986000056412,143.458766038293,86.5097954422605,105.79006956114,115.90885428857,131.460957154024,145.628276742153
"1797","SP_1700",4058.00290539403,0.107524277045036,0.126357177205478,0.850955042072393,0.394794327263037,0.486627398379313,3924.35229728435,4270.72349032095,4432.94517290066,3997.67272954456,4162.3612148248,3559.96252748887
"1798","SP_0208",14584.5587166434,0.125197843737682,0.148621001851676,0.842396714985342,0.399565931178024,0.492235004204296,13328.4519341629,15017.1237652795,17321.7832330731,15685.5431181124,13070.9751684572,13083.4750807752
"1799","SP_1080",454.598733211307,0.237384042964325,0.28199041520052,0.841815998588194,0.399890955362731,0.492361570944108,286.917532076585,470.920257447789,721.517525117451,409.229220243319,397.79744177776,441.210422604939
"1800","SP_2165",2.29269497557906,0.559355449577795,0.666792849603482,0.83887439691416,0.401539796558892,0.494117027432192,0,4.53478766431204,6.33765393684248,0,0,2.88372825231986
"1801","SP_0939",169.333376714375,-0.230395449586576,0.275426802966571,-0.836503372602189,0.402871780218635,0.495480840191159,209.525303029612,129.067033522727,128.703126102032,203.431866710552,143.411953258935,201.86097766239
"1802","SP_0159",934.72572401199,0.148293843467523,0.177663888075732,0.834687595063271,0.403893627931435,0.496461923345243,948.526709661079,1089.74435871622,909.209584016248,1043.17968859713,713.645195978986,904.048807102277
