"","Gene","baseMean","Value","lfcSE","stat","pvalue","padj","X.ExpOut.190116_NS500751_0114_AHL235BGX9.Out.Rep.Bams.T4.NDC45min.a","X.ExpOut.190116_NS500751_0114_AHL235BGX9.Out.Rep.Bams.T4.NDC45min.b","X.ExpOut.190116_NS500751_0114_AHL235BGX9.Out.Rep.Bams.T4.NDC45min.c","X.ExpOut.190116_NS500751_0114_AHL235BGX9.Out.Rep.Bams.T4.KAN45min.a","X.ExpOut.190116_NS500751_0114_AHL235BGX9.Out.Rep.Bams.T4.KAN45min.b","X.ExpOut.190116_NS500751_0114_AHL235BGX9.Out.Rep.Bams.T4.KAN45min.c"
"40","SP_2058",3140.02858007231,-0.281804962109818,0.0759471742511446,-3.71053913313399,0.000206818321597635,0.0103409160798817,3365.47703274204,3430.89498839637,3630.97050307073,2823.86074660964,2990.32569217557,2598.64251743954
"41","SP_0387",215.17735465481,0.393560903231128,0.108661552433571,3.62189656246378,0.000292451063396301,0.0142659055315269,189.49405349548,173.670402787267,170.291939333206,249.834365766328,266.593138631826,241.180227914755
"42","SP_0624",402.618675741882,0.348358096383787,0.0964564810549154,3.61155717660337,0.000304363960277583,0.0144572894083401,357.063175181566,350.958938965935,328.076561088267,439.448070077581,445.894718596594,494.27059054135
"43","SP_0641",1220.7428857663,-0.32176418087879,0.0892277131306711,-3.60610139595953,0.000310831722279312,0.0144572894083401,1165.15351901353,1470.77122360467,1491.25709585576,1079.08914985717,1066.3725545273,1051.81377173935
"44","SP_0766",3337.96973722557,-0.284354910379517,0.0798521254393027,-3.56101868065693,0.000369418796888234,0.0167917634949197,3518.9515554078,3680.54619240307,3909.01779384642,3146.9364573889,3100.02994833822,2672.33647596905
"45","SP_1778",3572.33447569362,-0.308284277980274,0.0871327255575189,-3.53809978980591,0.000403017715832953,0.0175316755174339,4507.13955338836,3653.41019196755,3867.64743570332,3296.67431830422,3314.71999803288,2794.4153567654
"46","SP_2188",950.024607229769,-0.310163970583957,0.0876674188557117,-3.5379617038166,0.000403228536900979,0.0175316755174339,989.754064538376,1143.33015168284,1063.12199414233,870.758212931502,877.634049301232,755.549170782335
"47","SP_0664",19172.2266135766,-0.230288899896805,0.0663891819839415,-3.46877146268361,0.00052284401153454,0.0222486813418953,20249.2405925335,20889.2931352559,21298.9997342289,17306.9298265554,18252.1930710188,17036.7033218673
"48","SP_2193",442.147476715858,0.327044587620097,0.0945082797810367,3.4604860905078,0.000539201089251572,0.0224667120521488,407.17730503161,356.386139053037,388.688946274662,497.227353365559,480.103572668819,523.30154390146
"49","SP_1471",272.723452747422,0.388856252791447,0.112738967690551,3.44917343805018,0.000562305410676041,0.0229512412520833,249.004582692408,224.324270266886,199.154979898156,335.282601614747,368.040085190839,260.534196821495
"50","SP_0958",224.958602694825,0.375093705914871,0.108940451085739,3.44310769945005,0.00057507025053685,0.023002810021474,200.456519400177,198.092803179226,164.519331220216,261.227463879451,270.131985604815,255.323512885065
"51","SP_0095",4457.22940276925,-0.268379682389872,0.0781270784013765,-3.43516854695469,0.000592185389272383,0.0232229564420542,5204.03917161554,4643.87420786369,4902.86849063287,4208.93596007638,4151.06749931591,3632.59108711113
"52","SP_1884",1424.75260124656,0.260343750089136,0.0767974283359934,3.39000609434624,0.000698910699041783,0.0268811807323763,1227.79618132609,1323.33228790506,1294.02631866193,1507.95791454399,1611.35498836758,1584.04791667469
"53","SP_0870",620.012175384537,-0.308162582520565,0.0912122495120771,-3.37852189995339,0.000728766276053995,0.0275006141907168,670.276486744343,748.049078672238,673.470946515503,576.16524743505,493.079344903112,559.031948036979
"54","SP_0828",538.764684152164,0.316184762710972,0.0940636595889051,3.36139125452723,0.00077550887255945,0.0282003226385255,430.668303398819,507.443208144045,466.619155800027,657.544519671639,601.603985408103,568.708932490349
"55","SP_1996",285.251588399274,-0.381016074773905,0.113243520922516,-3.36457283975306,0.000766622457425173,0.0282003226385255,407.17730503161,319.300271791173,281.895696184346,257.972292989987,244.18044113623,200.983523262296
"56","SP_1714",1070.46805345491,-0.329674464315806,0.0999218773088755,-3.29932216242021,0.000969186142269822,0.0346137907953508,1274.7781780605,1174.9888188576,1205.51299426275,1045.72364824017,996.77523072519,725.029450583246
"57","SP_0082",323.291605751953,-0.326281375191752,0.0992779696038657,-3.28654359566039,0.00101425072894778,0.0350696440059427,371.157774201891,365.43147253154,364.636412470537,270.179183825475,299.622377046388,268.722414435885
"58","SP_1860",864.356408066254,-0.268426989084449,0.081693644145901,-3.28577567925665,0.00101701967617234,0.0350696440059427,923.979269110193,967.850682199872,971.722365686655,783.682391638352,743.157864327656,795.745875434794
"59","SP_0785",583.396146539828,0.285697639380647,0.0874279006306082,3.26780852931319,0.00108383662249379,0.0367402244913148,505.839498173885,523.724808405351,521.458932873433,629.875567111199,648.788611714621,670.689460960477
"60","SP_1472",1000.9732594548,0.342088767128418,0.105891706698063,3.23055296581291,0.00123551010415206,0.041183670138402,941.206001246145,877.397347414837,736.969635758394,1258.12354877767,1301.11607040223,891.026953129512
"61","SP_RS11205",524.173734501167,0.303170606558446,0.0940587388027636,3.2232050994664,0.00126764751934931,0.0415622137491576,480.782433248863,426.939740185364,473.353865265182,566.399734766659,554.419359101585,643.147274439347
"62","SP_0222",5823.11309684226,0.218449454458504,0.0679217112430451,3.21619479928625,0.00129902623274114,0.0419040720239079,5194.64277226866,5476.04488788601,5370.44974778506,6079.0316360732,6432.44418123605,6386.06535580458
"63","SP_RS04295",317.371763614747,-0.328205473398275,0.103830729444992,-3.16096665363554,0.00157246499340278,0.0499195236000883,332.006110256544,355.481605705187,398.309959796312,253.903329378158,263.054291658837,301.475284893444
"64","SP_1161",2406.23721714776,-0.243809583977487,0.0773283001576437,-3.15291534251302,0.00161648678882488,0.0505152121507774,2414.87463214901,2717.21817694244,2756.42037395274,2272.10928084556,2185.82781364944,2090.97302534737
"65","SP_0054",104.582446937766,-0.389138928050328,0.123939390137158,-3.13975183853726,0.00169091006885144,0.052028002118506,134.681723971994,115.780268524845,126.997378485781,78.1241013471254,96.7284839283616,75.1827253684885
"66","SP_RS01905",43.1375368630015,0.403092901387101,0.128833928251745,3.12877909458327,0.00175534220771792,0.0531921881126643,18.7927986937666,37.0858672618643,30.7872432692802,50.4551487866852,69.5973238021138,52.106839364299
"67","SP_RS00615",462.684478760139,-0.302106065133094,0.0968181355335362,-3.12034582641234,0.00180638829970195,0.0539220387970733,505.839498173885,547.24267544946,508.951615295288,455.723924524898,372.758547821491,385.590611295812
"68","SP_1360",1242.44834787678,-0.244666370548307,0.0794227763156267,-3.08055676089692,0.00206613969133285,0.0607688144509662,1404.76170235906,1309.7642876873,1365.22181872214,1167.79255659505,1150.12526622137,1057.02445567578
"69","SP_0826",114.215824382666,0.378094181033518,0.123125471204472,3.07080393142718,0.00213483288377448,0.0618792140224488,100.228259700089,78.6944012629803,97.1722365686655,120.441322910152,145.092725892542,143.665999961567
"70","SP_0390",158.626325828199,0.381149691496261,0.124903963217254,3.05154201418974,0.00227669183858065,0.0650483382451616,98.6621931422748,131.1573354383,147.201506881246,156.248202694251,169.864654703464,248.624062109655
"71","SP_1225",821.07758600151,-0.273353877722646,0.0898219308962956,-3.04328658931022,0.00234009356171597,0.0651653533557928,905.186470416426,892.774414328293,931.314108895725,703.930704846495,829.269807337051,663.990010185067
"72","SP_1293",20402.7718673797,-0.276137601287389,0.0907590832019826,-3.04253405328974,0.00234595272080854,0.0651653533557928,25804.0786730994,21751.3134157573,20457.1610510845,19222.5978950047,19585.1587641779,15596.3214051542
"73","SP_1839",1845.29659633789,-0.234456786347723,0.0772459699862429,-3.03519764706791,0.00240378104381103,0.0658570148989323,2049.98112417838,1860.62509652817,2124.31978558033,1716.28885146966,1662.07846164709,1658.48625862369
"74","SP_RS09620",255.968527293828,0.32390761703859,0.108349635827658,2.98946659639726,0.00279465002874496,0.0755310818579718,256.834915481477,208.94720335343,195.306574489496,309.241234499038,287.826220469759,277.655015469764
