,Gene,baseMean,Value,lfcSE,stat,pvalue,padj,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.NDC20MIN.A,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.NDC20MIN.B,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.NDC20MIN.C,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.RIF20MIN.A,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.RIF20MIN.B,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.RIF20MIN.C
121,SP_1767,1007.79145,1.078375073,0.123645787,-8.721486599,2.75E-18,5.03E-17,591.3984519,596.0496137,737.8191283,1384.820265,1357.092574,1379.568667
122,SP_0767,380.9777279,-1.273420165,0.146358802,8.700673615,3.30E-18,5.99E-17,547.2941606,601.909652,479.8404121,226.2568451,215.8211181,214.7441792
123,SP_0092,202.947543,1.496110751,0.172513168,-8.672443758,4.23E-18,7.62E-17,115.2725796,93.76061339,100.6116993,307.5595412,268.6034568,331.8773679
124,SP_2188,677.2978674,-1.048310744,0.121097329,8.656761868,4.85E-18,8.67E-17,951.2493744,910.8173872,892.6063581,460.0020964,430.4692954,418.6426929
125,SP_1175,2280.029499,0.967918968,0.112099999,-8.634424374,5.90E-18,1.05E-16,1548.662048,1532.818599,1522.934355,3360.154849,2993.345073,2722.26207
126,SP_0198,2729.222663,0.954337673,0.110835549,-8.610393369,7.28E-18,1.28E-16,1791.23565,2062.733495,1684.601017,3609.946685,3545.800218,3681.018911
127,SP_2091,1325.248991,-0.957897447,0.111735949,8.572867178,1.01E-17,1.76E-16,1675.963071,1769.731578,1825.629382,907.1669251,946.5632736,826.4397201
128,SP_0049,457.4153443,1.208602363,0.141218494,-8.55838586,1.14E-17,1.98E-16,271.6423398,268.7246152,272.5975101,561.6304666,634.561005,735.3361289
129,SP_0851,951.849429,-1.029546952,0.121511118,8.472862176,2.39E-17,4.11E-16,1304.083705,1351.157411,1195.301385,596.3980669,684.9974619,579.158544
130,SP_1756,133.2702648,1.722424547,0.20331466,-8.47171841,2.42E-17,4.12E-16,55.13036416,69.48331171,53.31560135,234.8150236,182.9787741,203.8985136
131,SP_0516,353.9918136,-1.228485881,0.145162618,8.462825362,2.61E-17,4.41E-16,473.1187615,526.566302,503.0584966,228.9312759,197.0540644,195.2219811
132,SP_0754,596.7160412,1.07534729,0.127469739,-8.436098645,3.28E-17,5.51E-16,416.9860271,347.4165585,378.3687838,806.6083272,845.6903597,785.2261908
133,SP_0347,6123.950164,-0.875233521,0.103938445,8.420690953,3.74E-17,6.23E-16,8605.348661,7632.281359,7606.072483,4453.997043,4051.337729,4394.663709
134,SP_1752,123.017648,-1.820682369,0.21630216,8.417310174,3.85E-17,6.37E-16,170.4029438,210.9613801,208.9627601,57.76770513,57.47410211,32.53699686
135,SP_2058,5889.918981,1.008413571,0.119987724,-8.404306207,4.30E-17,7.06E-16,3934.303261,4213.367564,3498.191392,7762.267934,8927.252881,7004.130856
136,SP_0064,176.7260422,1.532560722,0.182427989,-8.400907853,4.43E-17,7.22E-16,95.22517446,89.57487172,78.25354392,233.7452513,296.7540374,266.8033742
137,SP_2109,2902.197923,-0.881717557,0.105074199,8.391380232,4.80E-17,7.77E-16,3949.338815,3534.440265,3832.703794,2071.079206,1910.72066,2114.904796
138,SP_0601,1661.911475,0.938633493,0.112028143,-8.378550881,5.36E-17,8.60E-16,1185.804015,1192.936376,1021.595716,2268.452199,2205.128816,2097.551731
139,SP_0085,13500.32386,-0.942643399,0.112931502,8.34703679,7.00E-17,1.12E-15,18164.95381,19448.63009,15848.49247,9212.34431,9896.102031,8431.420452
140,SP_0499,5755.769216,-0.931392291,0.111749549,8.3346403,7.77E-17,1.23E-15,7608.992625,7824.825476,7300.797669,3876.854878,4424.332922,3498.811729
141,SP_2041,804.5111528,-1.091846412,0.131357189,8.312041543,9.41E-17,1.48E-15,1220.886974,1070.712719,1002.677277,481.9324289,473.8681072,576.9894109
142,SP_0897,17465.05516,-0.868607763,0.104930119,8.27796417,1.25E-16,1.94E-15,23045.49459,24393.6653,20454.27248,12852.24462,11786.8827,12257.77128
143,SP_1761,595.8532023,1.203131009,0.145335531,-8.278299214,1.25E-16,1.94E-15,368.8722548,286.3047302,411.0460878,836.027066,783.5244941,889.3445807
144,SP_1545,370.8028532,-1.18652443,0.144007901,8.239300932,1.73E-16,2.66E-15,536.2680878,555.0293453,466.9414763,232.1405929,224.0317042,210.405913
145,SP_0628,965.4100355,1.182606348,0.143877087,-8.219560001,2.04E-16,3.12E-15,617.4600786,657.161442,476.4006959,1450.076376,1443.890198,1147.471422
146,SP_1774,1194.44292,1.050437597,0.128646794,-8.165283914,3.21E-16,4.87E-15,787.8630224,868.1228222,658.7056554,1719.124114,1649.154848,1483.687057
147,SP_0107,1650.595761,-0.894489915,0.109667486,8.15638206,3.45E-16,5.20E-15,2035.813993,2303.832215,2118.00526,1106.679462,1206.956144,1132.287491
148,SP_0768,2026.635376,-0.956530517,0.117880218,8.114427774,4.88E-16,7.30E-15,2865.776566,2821.189885,2374.264118,1473.076481,1350.054929,1275.450277
149,SP_2101,7287.373945,0.795934883,0.098230439,-8.102731574,5.37E-16,7.99E-15,5097.052759,5544.433415,5272.22503,8843.807747,9296.729252,9669.995466
150,SP_1580,1378.008395,-0.922019423,0.113907287,8.094472683,5.75E-16,8.49E-15,1946.60304,1737.082793,1752.535412,1015.748815,913.7209295,902.3593795
151,SP_1799,893.0311005,1.04184186,0.129164533,-8.066005685,7.26E-16,1.07E-14,550.3012714,526.566302,657.8457263,1267.680196,1095.526763,1260.266345
152,SP_0157,9467.879062,0.87676511,0.109018384,-8.042360197,8.81E-16,1.28E-14,6519.416155,7114.086541,6282.641669,10994.0501,13010.26001,12886.81989
