,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.NDC60MIN.A,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.NDC60MIN.B,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.NDC60MIN.C,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.VNC60MIN.A,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.VNC60MIN.B,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.VNC60MIN.C
107,SPT_2224,1023.453295,1.878355098,0.125232994,-14.99888353,7.47E-51,1.50E-49,430.2022402,487.2373499,385.8596559,1717.825255,1758.627948,1360.967321
108,SPT_0949,386.7807496,-2.39067651,0.159510072,14.98762103,8.85E-51,1.77E-49,722.3846248,522.2674861,710.3092869,120.5655375,104.1362773,141.0212849
109,SPT_0430,551.7915504,1.869828847,0.125015996,-14.95671677,1.41E-50,2.78E-49,242.1400977,199.5656248,263.0396063,862.6510938,826.7145278,916.6383519
110,SPT_1732,1669.451131,1.643122789,0.109901321,-14.95089208,1.54E-50,3.01E-49,753.0557038,944.7521599,720.5442911,2572.999416,2478.018353,2547.336861
111,SPT_1589,7633.916353,1.752207909,0.11731908,-14.93540445,1.94E-50,3.76E-49,3466.639065,3138.912513,3810.492039,10635.93656,10694.15811,14057.35983
112,SPT_1280,1961.167281,-1.340608674,0.089922883,14.90842637,2.91E-50,5.59E-49,2888.731366,2704.751127,2851.472152,1141.166831,1059.427229,1121.45498
113,SPT_0084,508.5762132,1.898289986,0.127643507,-14.87180997,5.02E-50,9.58E-49,246.9828996,188.950432,201.6295815,795.3587007,774.6463891,843.8892764
114,SPT_0240,4478.938923,1.353197377,0.091100841,-14.85384068,6.57E-50,1.24E-48,2364.901621,2734.473667,2441.048486,6160.992427,6699.788043,6472.429291
115,SPT_0278,2495.273878,-1.334033655,0.090431095,14.75193515,2.99E-49,5.60E-48,3587.709114,3358.647004,3784.904529,1424.355652,1448.344346,1367.68262
116,SPT_1223,1213.989822,-1.532636543,0.104095067,14.72343108,4.56E-49,8.47E-48,1965.37046,1664.462232,1791.125724,656.1008319,602.5027471,604.3769353
117,SPT_1224,3147.451872,-1.374732439,0.093438283,14.7127323,5.34E-49,9.84E-48,4780.652662,4132.49456,4731.642411,1817.829228,1710.81027,1711.2821
118,SPT_1050,2081.602528,-1.940890401,0.132826314,14.61224321,2.35E-48,4.29E-47,3208.356294,3785.377755,2941.540188,986.0204809,897.9097378,670.4107116
