,Gene,baseMean,Value,lfcSE,stat,pvalue,padj,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.NDC90MIN.A,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.NDC90MIN.B,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.NDC90MIN.C,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.VNC90MIN.A,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.VNC90MIN.B,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.VNC90MIN.C
68,SPT_1152,6362.853191,-2.114692789,0.099788257,21.19180012,1.14E-99,3.60E-98,8887.626242,11514.93365,10648.61358,2290.775696,2471.728348,2363.441625
69,SPT_1402,12308.71659,-1.51102073,0.071934263,21.00557737,5.83E-98,1.82E-96,18305.06969,18198.56015,18196.96398,6510.401559,6235.05969,6406.244499
70,SPT_1598,3761.286605,-1.787426932,0.085380751,20.93477652,2.58E-97,7.95E-96,6051.995642,5830.333431,5628.438056,1804.305206,1577.024191,1675.623105
71,SPT_RS02835,4303.881363,-1.98414824,0.094923186,20.90267213,5.06E-97,1.54E-95,7341.752671,6120.794793,7171.870724,1639.309745,1702.917042,1846.643199
72,SPT_0141,4127.47131,2.022665095,0.096936909,-20.86578906,1.10E-96,3.28E-95,1531.347558,1625.176549,1717.604758,6439.08094,7424.795186,6026.82287
73,SPT_2044,798.8711094,2.631810156,0.12701908,-20.71980178,2.30E-95,6.78E-94,229.3580966,258.2995504,166.1333775,1407.251612,1376.172237,1356.011782
74,SPT_1180,780.0244102,-2.183956914,0.106113485,20.58133245,4.03E-94,1.17E-92,1311.928312,1256.32077,1271.456252,301.2497778,270.0449712,269.1463772
75,SPT_0801,1645.425414,-1.849383615,0.09043043,20.45089925,5.90E-93,1.69E-91,2658.260339,2451.333087,2624.639408,744.0763064,709.2284296,685.0149114
76,SPT_1026,2519.571593,-1.70110613,0.083414974,20.39329446,1.92E-92,5.44E-91,3832.573794,3919.720804,3818.388112,1178.38694,1128.230591,1240.129314
77,SPT_0941,4814.231547,-1.696170891,0.083538565,20.30404634,1.18E-91,3.31E-90,7454.902666,7118.816013,7516.195547,2386.579512,2094.049794,2314.845751
78,SPT_1024,1491.999446,-1.949822631,0.096222513,20.26368432,2.69E-91,7.43E-90,2197.250565,2472.439276,2450.467318,585.4677661,599.6728185,646.6989341
79,SPT_1228,3504.886799,-1.73897095,0.086596527,20.08130125,1.08E-89,2.93E-88,5589.456813,5595.150183,5008.117461,1697.856522,1580.868248,1557.871565
80,SPT_1058,1462.753977,-1.970518696,0.098213031,20.06371931,1.53E-89,4.13E-88,2521.410008,2354.847652,2122.219919,583.3387924,590.0626772,604.6448127
81,SPT_1731,2602.713839,2.727716826,0.136308308,-20.01137615,4.38E-89,1.17E-87,843.2732684,640.2210646,531.8947651,4455.941943,3987.247635,5157.70436
82,SPT_1774,251.3656114,3.774255179,0.188813827,-19.98929447,6.83E-89,1.79E-87,28.28749858,36.18203819,36.17420317,453.471397,471.8579389,482.2205925
83,SPT_1065,2078.85441,-2.0052361,0.100421863,19.96812296,1.04E-88,2.71E-87,3402.145099,3292.565475,3302.570771,760.0436091,949.4819627,766.3195462
84,SPT_1734,809.3269048,2.546455923,0.128117317,-19.87596974,6.57E-88,1.69E-86,259.1746491,228.1478519,211.6860778,1556.279771,1182.047383,1418.625697
85,SPT_1178,1581.816559,-1.875946137,0.09439733,19.87287283,6.99E-88,1.77E-86,2620.798517,2450.328031,2394.196335,681.2715824,626.5812142,717.7236725
86,SPT_1061,2687.969873,-2.196571351,0.110572924,19.86536373,8.12E-88,2.03E-86,4393.736603,4023.241635,4840.644298,948.4577811,1097.478139,824.2607802
87,SPT_2043,2863.163498,2.764652139,0.139273441,-19.85053377,1.09E-87,2.70E-86,763.7624616,881.4346525,523.8560533,4613.485997,4738.760686,5657.681138
88,SPT_1733,1919.765337,2.683432027,0.135238261,-19.84225478,1.29E-87,3.15E-86,642.2026704,487.4524589,395.2366642,3665.028216,3018.545389,3310.126625
89,SPT_1302,13711.78308,-1.6039157,0.08108788,19.77996844,4.43E-87,1.07E-85,19830.30103,19869.9693,22251.1543,6846.779403,6520.480887,6952.013542
90,SPT_0133,579.9078471,2.419804703,0.12263587,-19.73162264,1.15E-86,2.76E-85,194.9543821,171.8646814,174.1720893,1067.680308,943.7158779,927.0597437
91,SPT_0891,3015.530682,-1.688603899,0.085700991,19.703435,2.01E-86,4.77E-85,4571.106865,4382.046847,4867.440004,1496.668508,1369.445138,1406.476728
92,SPT_1349,3541.912306,-1.638814761,0.083286372,19.67686584,3.40E-86,7.97E-85,5087.162582,5451.427087,5561.448791,1648.890127,1794.213385,1708.331866
93,SPT_0249,3651.778945,1.54434026,0.078642891,-19.63737908,7.41E-86,1.70E-84,1878.442811,1839.253608,1864.981141,5638.586831,5298.070911,5391.338368
94,SPT_1151,5114.696838,-1.795081221,0.091409511,19.63779483,7.35E-86,1.70E-84,7749.245556,8456.54637,7640.79558,2048.072695,2452.508066,2341.01276
95,SPT_1056,2015.309464,-2.223494678,0.114448159,19.42796364,4.48E-84,1.02E-82,3288.230578,3687.552725,2998.439507,599.3060951,803.4078146,714.9200645
96,SPT_1279,1455.110607,-1.80513167,0.093300311,19.34754185,2.14E-83,4.80E-82,2278.290426,2308.615048,2207.966178,631.2407005,608.3219457,696.2293438
97,SPT_1229,849.8304876,-2.582145634,0.134714482,19.16754312,6.91E-82,1.54E-80,1426.607361,1209.083109,1743.060678,222.4777511,258.5128016,239.2412242
98,SPT_1803,794.1237747,2.123303089,0.111181929,-19.09755583,2.65E-81,5.82E-80,274.4651889,323.6282305,286.7140547,1352.962783,1322.355446,1204.616945
99,SPT_2056,417.4886115,2.495183701,0.130801411,-19.07612215,3.99E-81,8.68E-80,131.498642,116.5865675,124.6000331,731.3024642,714.9945144,685.9494475
100,SPT_1145,1030.479361,-2.009691021,0.105359578,19.07459254,4.11E-81,8.85E-80,1718.65667,1598.04002,1641.236996,444.9555022,360.3802996,419.6066784
