Gene,Value,padj
Rv1429,0.29,0.203
Rv1432,0.11,0.756
Rv1436,-0.07,0.324
Rv1437,0.12,0.134
Rv1438,0.10,0.468
Rv1439c,0.00,0.987
Rv1442,-0.45,0.180
Rv1443c,-0.07,0.638
Rv1444c,-0.15,0.404
Rv1445c,-0.04,0.816
Rv1446c,-0.71,0.002
Rv1447c,-0.51,0.001
Rv1448c,-0.09,0.409
Rv1449c,-0.24,0.106
Rv1454c,0.01,0.966
Rv1455,0.20,0.158
Rv1458c,0.27,0.346
Rv1459c,-0.36,0.033
Rv1461,-0.57,0.001
Rv1462,-0.40,0.025
Rv1463,-0.33,0.086
Rv1464,-0.31,0.031
Rv1465,-0.73,0.001
Rv1466,-0.71,0.006
Rv1467c,0.22,0.188
Rv1470,-0.27,0.108
Rv1471,-1.40,0.000
Rv1472,-0.70,0.007
Rv1473,-0.73,0.000
Rv1474c,-0.34,0.256
Rv1475c,0.13,0.307
Rv1476,-0.75,0.000
Rv1477,-0.04,0.917
Rv1479,-0.17,0.069
Rv1480,0.04,0.700
Rv1481,-0.26,0.067
Rv1483,-0.41,0.006
Rv1484,-0.11,0.271
Rv1486c,0.57,0.083
Rv1487,-0.82,0.004
Rv1488,0.43,0.003
Rv1489,-0.35,0.009
Rv1492,0.47,0.002
Rv1493,0.49,0.001
Rv1495,0.74,0.005
Rv1496,0.08,0.411
Rv1498A,0.30,0.315
Rv1498c,-0.25,0.040
Rv1500,-1.42,0.001
Rv1501,0.21,0.376
Rv1507c,-0.35,0.012
Rv1508c,-0.91,0.033
Rv1511,-0.11,0.235
Rv1512,-0.47,0.001
Rv1513,0.08,0.604
Rv1514c,-0.51,0.072
Rv1515c,0.86,0.012
Rv1516c,-0.19,0.139
Rv1521,-0.17,0.017
Rv1523,-0.05,0.809
Rv1524,-0.03,0.920
Rv1527c,-0.66,0.003
Rv1529,0.27,0.218
Rv1531,-0.09,0.575
Rv1532c,0.64,0.003
Rv1533,0.25,0.107
Rv1534,-0.49,0.002
Rv1536,-0.23,0.008
Rv1538c,0.18,0.093
Rv1539,-2.28,0.074
Rv1540,0.00,0.999
Rv1543,-0.79,0.006
Rv1544,0.42,0.131
Rv1546,-0.10,0.538
Rv1547,-1.01,0.003
Rv1550,0.17,0.362
Rv1551,-0.10,0.801
Rv1556,0.16,0.244
Rv1558,-0.05,0.581
Rv1559,0.19,0.098
Rv1564c,0.05,0.686
Rv1566c,-0.89,0.004
Rv1568,-0.51,0.001
Rv1569,-1.29,0.002
Rv1570,0.31,0.157
Rv1571,-0.86,0.051
Rv1576c,0.32,0.082
Rv1578c,0.38,0.310
Rv1579c,-1.11,0.020
Rv1580c,-0.25,0.377
Rv1585c,0.58,0.017
Rv1586c,0.70,0.064
Rv1589,-0.70,0.000
Rv1590,-1.07,0.001
Rv1591,-0.18,0.301
Rv1592c,-1.03,0.001
Rv1593c,0.86,0.032
Rv1594,-0.68,0.000
Rv1595,-1.54,0.000
Rv1596,-0.27,0.013
Rv1598c,0.26,0.414
Rv1599,0.45,0.012
Rv1600,0.44,0.001
Rv1601,0.98,0.002
Rv1602,0.05,0.594
Rv1603,0.39,0.002
Rv1605,0.30,0.029
Rv1607,-0.54,0.026
Rv1608c,0.05,0.433
Rv1609,0.05,0.626
Rv1610,-0.37,0.087
Rv1611,-0.33,0.004
Rv1612,-0.29,0.042
Rv1613,0.12,0.365
Rv1614,-0.05,0.895
Rv1617,-0.21,0.007
Rv1618,-0.96,0.001
Rv1621c,0.44,0.040
Rv1622c,0.94,0.005
Rv1623c,1.27,0.001
Rv1624c,-2.07,0.003
Rv1625c,0.38,0.002
Rv1626,0.19,0.367
Rv1627c,0.20,0.132
Rv1628c,0.07,0.581
Rv1629,0.10,0.208
Rv1630,0.06,0.464
Rv1631,0.05,0.604
Rv1632c,0.21,0.221
Rv1633,0.10,0.384
Rv1636,0.22,0.050
Rv1637c,-0.08,0.708
Rv1638,0.40,0.029
Rv1638A,-0.45,0.051
Rv1640c,-0.02,0.896
Rv1641,-0.15,0.360
Rv1642,1.56,0.036
Rv1643,1.88,0.002
Rv1647,-0.06,0.798
Rv1649,-0.02,0.858
Rv1650,-0.02,0.869
Rv1652,0.49,0.002
Rv1653,0.34,0.035
Rv1654,0.26,0.091
Rv1655,0.75,0.001
Rv1656,0.47,0.006
Rv1657,0.13,0.332
Rv1658,0.41,0.003
Rv1659,0.08,0.472
Rv1660,-0.35,0.032
Rv1665,-0.47,0.031
Rv1676,-0.03,0.789
Rv1677,-0.23,0.433
Rv1679,-0.20,0.064
Rv1680,-0.23,0.240
Rv1683,0.21,0.065
Rv1684,-0.36,0.350
Rv1687c,-0.49,0.041
Rv1689,0.01,0.915
Rv1691,-0.83,0.001
Rv1692,0.09,0.557
Rv1693,-0.70,0.002
Rv1695,0.70,0.009
Rv1696,-0.04,0.838
Rv1697,-0.39,0.053
Rv1698,-0.45,0.006
Rv1699,-0.11,0.244
Rv1700,0.26,0.155
Rv1701,-0.37,0.376
Rv1703c,0.00,0.999
Rv1704c,-1.45,0.000
Rv1707,-0.16,0.324
Rv1708,-0.24,0.140
Rv1710,0.07,0.592
Rv1711,-0.38,0.004
Rv1712,-0.08,0.659
Rv1713,0.22,0.095
Rv1719,0.17,0.068
Rv1721c,-0.32,0.117
Rv1722,-0.13,0.146
Rv1728c,-0.46,0.174
Rv1729c,-0.01,0.958
Rv1730c,0.36,0.112
Rv1731,-0.11,0.380
Rv1732c,-0.02,0.698
Rv1736c,0.43,0.068
Rv1737c,2.32,0.000
Rv1738,6.64,0.000
Rv1742,0.78,0.073
Rv1743,-0.13,0.173
Rv1745c,-0.14,0.540
Rv1746,-0.22,0.159
Rv1747,0.00,0.986
Rv1748,0.48,0.003
Rv1749c,-0.43,0.034
Rv1750c,-0.08,0.673
Rv1751,-0.18,0.119
Rv1761c,0.30,0.131
Rv1762c,-0.08,0.744
Rv1769,-0.08,0.570
Rv1770,0.06,0.509
Rv1771,-0.02,0.860
Rv1772,0.37,0.504
Rv1773c,0.56,0.000
Rv1778c,-0.01,0.939
Rv1779c,0.50,0.050
Rv1780,-0.50,0.022
Rv1782,-0.27,0.376
Rv1783,0.03,0.781
Rv1785c,0.07,0.848
Rv1789,-0.02,0.939
Rv1793,0.48,0.087
Rv1794,0.14,0.240
Rv1795,-0.50,0.002
Rv1796,-0.25,0.012
Rv1797,-0.12,0.203
Rv1798,-0.08,0.524
Rv1800,-0.18,0.522
Rv1805c,0.28,0.090
Rv1807,-0.85,0.365
Rv1808,-1.27,0.008
Rv1810,-2.78,0.000
Rv1812c,-0.85,0.002
Rv1813c,1.59,0.000
Rv1819c,0.11,0.145
Rv1820,0.38,0.011
Rv1821,-0.02,0.858
Rv1823,-0.70,0.000
Rv1825,-0.39,0.001
Rv1826,-0.11,0.586
Rv1827,0.67,0.132
Rv1828,0.01,0.966
Rv1829,-0.12,0.499
Rv1830,-0.40,0.147
Rv1832,0.22,0.192
Rv1833c,0.00,0.970
Rv1834,1.23,0.001
Rv1835c,-0.08,0.667
Rv1836c,-0.25,0.121
Rv1837c,-0.19,0.082
Rv1838c,0.48,0.283
Rv1841c,-0.23,0.350
Rv1842c,-0.13,0.464
Rv1843c,-0.02,0.819
Rv1844c,0.23,0.210
Rv1847,-0.04,0.850
Rv1848,-0.45,0.048
Rv1850,-0.46,0.016
Rv1852,0.05,0.811
Rv1854c,0.96,0.000
Rv1855c,0.19,0.348
Rv1856c,0.05,0.809
Rv1857,-0.02,0.963
Rv1860,-0.79,0.007
Rv1862,0.45,0.258
Rv1864c,-0.08,0.697
Rv1865c,-0.03,0.937
Rv1866,-0.65,0.003
Rv1867,0.39,0.069
Rv1869c,0.08,0.462
Rv1871c,0.84,0.040
Rv1872c,0.22,0.293
Rv1874,0.01,0.983
Rv1875,0.08,0.531
Rv1876,0.96,0.010
Rv1878,0.04,0.793
Rv1880c,-0.50,0.001
Rv1881c,0.09,0.756
Rv1882c,0.16,0.444
Rv1883c,0.17,0.377
Rv1884c,0.44,0.058
Rv1885c,-0.88,0.000
Rv1886c,-0.85,0.013
Rv1887,-2.36,0.002
Rv1890c,0.33,0.575
Rv1891,-1.03,0.110
Rv1893,-0.16,0.600
Rv1894c,1.30,0.000
Rv1895,-0.41,0.071
Rv1896c,-0.26,0.016
Rv1897c,0.10,0.785
Rv1898,0.72,0.037
Rv1899c,0.06,0.811
Rv1900c,0.12,0.544
Rv1901,-0.15,0.291
Rv1904,-1.29,0.001
Rv1905c,0.14,0.138
Rv1906c,-1.62,0.003
Rv1908c,-0.51,0.000
Rv1910c,-1.05,0.015
Rv1911c,-0.92,0.000
Rv1912c,-0.14,0.499
Rv1914c,-0.14,0.787
Rv1915,0.43,0.094
Rv1919c,-0.08,0.586
Rv1920,-0.07,0.773
Rv1922,-1.02,0.058
Rv1923,-1.40,0.000
Rv1924c,-0.76,0.001
Rv1925,-0.40,0.001
Rv1926c,-1.54,0.008
Rv1927,-0.05,0.933
Rv1928c,-0.41,0.253
Rv1932,0.02,0.918
Rv1938,0.25,0.024
Rv1942c,-0.11,0.121
Rv1943c,-0.11,0.504
Rv1944c,0.12,0.409
Rv1954A,3.02,0.000
Rv1956,0.08,0.777
Rv1957,-0.62,0.008
Rv1960c,-0.38,0.024
Rv1962c,0.23,0.430
Rv1963c,-0.10,0.744
Rv1976c,-0.14,0.427
Rv1977,0.10,0.352
Rv1978,0.21,0.426
Rv1980c,-2.67,0.000
Rv1981c,0.12,0.648
Rv1982A,0.41,0.105
Rv1984c,-3.05,0.000
Rv1987,-0.96,0.004
Rv1989c,0.65,0.009
Rv1990c,0.16,0.249
Rv1991c,0.24,0.173
Rv1993c,0.60,0.041
Rv1994c,0.16,0.738
Rv1996,4.24,0.000
Rv1997,1.85,0.000
Rv1998c,-0.72,0.007
Rv2000,-0.83,0.000
Rv2001,-0.21,0.096
Rv2002,-0.43,0.012
Rv2003c,1.17,0.000
Rv2004c,1.88,0.000
Rv2005c,3.41,0.000
Rv2006,0.24,0.308
Rv2007c,2.78,0.000
Rv2008c,-0.01,0.972
Rv2012,-0.83,0.020
Rv2016,0.11,0.496
Rv2018,-0.13,0.505
Rv2019,0.31,0.355
Rv2021c,-0.47,0.257
Rv2026c,-0.71,0.067
Rv2027c,-0.45,0.105
Rv2028c,3.58,0.000
Rv2029c,2.22,0.000
Rv2030c,4.03,0.000
Rv2031c,7.95,0.000
Rv2032,6.07,0.000
Rv2033c,-1.42,0.009
Rv2035,0.43,0.003
Rv2037c,0.20,0.223
Rv2038c,1.79,0.000
Rv2041c,-0.01,0.962
Rv2042c,-0.04,0.829
Rv2043c,1.22,0.000
Rv2046,-0.35,0.181
Rv2047c,-0.27,0.598
Rv2048c,-0.57,0.000
Rv2050,-0.44,0.004
Rv2051c,-0.52,0.003
Rv2052c,0.26,0.215
Rv2053c,-0.41,0.066
Rv2054,-0.45,0.002
Rv2055c,0.43,0.298
Rv2061c,-0.20,0.304
Rv2062c,0.12,0.459
Rv2063,0.60,0.056
Rv2064,-0.79,0.030
Rv2065,-0.14,0.203
Rv2066,0.16,0.136
Rv2067c,-0.31,0.039
Rv2068c,-0.82,0.005
Rv2070c,-0.61,0.071
Rv2073c,-0.03,0.868
Rv2074,0.82,0.004
Rv2080,-0.78,0.003
Rv2082,-0.74,0.068
Rv2088,-0.11,0.190
Rv2089c,0.31,0.170
Rv2090,-0.05,0.707
Rv2091c,-0.39,0.062
Rv2092c,-0.04,0.735
Rv2093c,-1.03,0.000
Rv2094c,-0.32,0.003
Rv2095c,0.42,0.009
Rv2096c,0.51,0.000
Rv2097c,0.33,0.001
Rv2101,-0.52,0.003
Rv2102,-0.85,0.000
Rv2103c,0.81,0.001
Rv2104c,0.51,0.323
Rv2109c,-0.06,0.361
Rv2110c,-0.05,0.832
Rv2111c,0.73,0.004
Rv2112c,0.27,0.013
Rv2113,-0.54,0.001
Rv2114,-0.09,0.434
Rv2115c,0.41,0.001
Rv2117,0.06,0.712
Rv2118c,0.01,0.982
Rv2121c,0.01,0.965
Rv2122c,-0.40,0.011
Rv2124c,-0.79,0.000
Rv2125,-0.15,0.567
Rv2129c,-0.29,0.011
Rv2130c,0.01,0.927
Rv2131c,0.09,0.254
Rv2134c,0.30,0.118
Rv2135c,0.27,0.514
Rv2137c,0.94,0.000
Rv2138,0.24,0.041
Rv2139,-0.63,0.013
Rv2140c,0.23,0.148
Rv2141c,0.00,0.999
Rv2145c,-0.05,0.710
Rv2147c,-1.21,0.000
Rv2148c,0.21,0.259
Rv2149c,0.13,0.230
Rv2150c,-0.55,0.007
Rv2151c,0.01,0.970
Rv2152c,0.21,0.132
Rv2153c,0.10,0.668
Rv2155c,-0.57,0.003
Rv2156c,0.18,0.497
Rv2157c,-0.19,0.035
Rv2158c,0.26,0.014
Rv2159c,0.69,0.009
Rv2161c,0.64,0.002
Rv2163c,-1.05,0.003
Rv2164c,-2.09,0.000
Rv2165c,0.60,0.003
Rv2166c,0.49,0.001
Rv2169c,-0.26,0.225
Rv2171,-0.46,0.196
Rv2172c,0.23,0.079
Rv2173,-0.29,0.002
Rv2175c,0.21,0.043
Rv2176,-0.81,0.071
Rv2178c,-0.15,0.205
Rv2179c,-0.30,0.081
Rv2181,-0.24,0.183
Rv2182c,0.10,0.647
Rv2183c,-0.36,0.001
Rv2184c,-0.46,0.066
Rv2185c,0.10,0.581
Rv2187,-0.07,0.352
Rv2190c,-1.04,0.001
Rv2192c,0.18,0.140
Rv2193,-0.82,0.082
Rv2194,-0.24,0.153
Rv2195,-0.12,0.143
Rv2196,-0.46,0.001
Rv2197c,-0.33,0.149
Rv2198c,-0.24,0.069
Rv2200c,-0.48,0.008
Rv2201,-0.23,0.007
Rv2202c,-0.01,0.956
Rv2203,-0.72,0.016
Rv2204c,-0.64,0.005
Rv2206,0.50,0.014
Rv2207,-0.26,0.001
Rv2210c,0.28,0.011
Rv2211c,0.06,0.627
Rv2212,0.05,0.615
Rv2213,-0.14,0.170
Rv2214c,-0.19,0.514
Rv2215,0.07,0.423
Rv2216,0.60,0.002
Rv2217,-0.06,0.849
Rv2218,-0.33,0.071
Rv2219,-0.09,0.575
Rv2220,-0.40,0.007
Rv2221c,-0.50,0.008
Rv2222c,0.07,0.785
Rv2223c,-0.86,0.000
Rv2224c,-0.56,0.000
Rv2225,0.52,0.011
Rv2226,-0.44,0.000
Rv2228c,0.01,0.956
Rv2229c,-0.06,0.799
Rv2230c,0.01,0.981
Rv2231c,-0.66,0.001
Rv2234,-0.77,0.024
Rv2235,-1.40,0.000
Rv2237,-0.21,0.193
Rv2237A,-0.23,0.311
Rv2238c,0.10,0.477
Rv2239c,-0.18,0.298
Rv2240c,-0.75,0.010
Rv2241,-0.14,0.300
Rv2242,0.21,0.188
Rv2243,-0.54,0.014
Rv2244,-1.13,0.000
Rv2245,-0.31,0.023
Rv2246,0.10,0.583
Rv2247,-2.00,0.000
Rv2248,0.39,0.105
Rv2249c,0.10,0.746
Rv2250A,-0.11,0.371
Rv2251,-0.14,0.067
Rv2252,0.03,0.852
Rv2256c,0.82,0.007
Rv2257c,0.05,0.674
Rv2258c,-0.65,0.000
Rv2259,0.06,0.688
Rv2260,-0.40,0.056
Rv2263,0.33,0.133
Rv2265,0.26,0.583
Rv2271,-1.28,0.000
Rv2272,-0.36,0.258
Rv2275,-0.49,0.028
Rv2276,-1.06,0.001
Rv2280,0.14,0.434
Rv2282c,-0.07,0.528
Rv2284,0.01,0.929
Rv2285,0.37,0.011
Rv2286c,-0.23,0.048
Rv2289,-1.98,0.000
Rv2290,-0.67,0.017
Rv2291,0.62,0.003
Rv2294,-0.53,0.000
Rv2295,-0.93,0.016
Rv2296,0.01,0.924
Rv2297,-0.31,0.051
Rv2298,-0.15,0.237
Rv2299c,0.07,0.678
Rv2301,-1.03,0.000
Rv2302,0.47,0.272
Rv2305,-0.04,0.810
Rv2314c,-0.06,0.491
Rv2315c,0.17,0.009
Rv2325c,-1.32,0.115
Rv2326c,-0.05,0.532
Rv2327,0.15,0.320
Rv2332,0.19,0.329
Rv2334,0.53,0.000
Rv2335,0.20,0.515
Rv2338c,-0.43,0.021
Rv2342,-0.62,0.168
Rv2343c,-0.35,0.051
Rv2344c,0.08,0.602
Rv2345,-0.03,0.712
Rv2346c,0.23,0.483
Rv2350c,-0.55,0.002
Rv2351c,-0.15,0.323
Rv2357c,0.13,0.062
Rv2358,-0.35,0.096
Rv2359,0.70,0.002
Rv2360c,0.28,0.029
Rv2361c,0.24,0.158
Rv2363,0.11,0.293
Rv2364c,0.00,1.000
Rv2365c,-0.30,0.233
Rv2366c,0.05,0.869
Rv2367c,-0.86,0.037
Rv2368c,0.91,0.000
Rv2373c,0.18,0.233
Rv2374c,0.74,0.000
Rv2375,-0.32,0.072
Rv2376c,-2.39,0.000
Rv2377c,-1.32,0.036
Rv2378c,-0.30,0.213
Rv2380c,-0.13,0.513
Rv2383c,-1.11,0.009
Rv2386c,-0.24,0.729
Rv2387,0.02,0.918
Rv2391,0.41,0.024
Rv2392,0.57,0.000
Rv2394,-0.26,0.001
Rv2397c,-0.23,0.221
Rv2400c,0.19,0.070
Rv2402,0.23,0.189
Rv2403c,-0.02,0.948
Rv2404c,-0.06,0.322
Rv2405,0.35,0.206
Rv2406c,-0.09,0.728
Rv2409c,-0.02,0.909
Rv2410c,-0.31,0.026
Rv2411c,0.10,0.322
Rv2412,-0.26,0.531
Rv2413c,-0.33,0.226
Rv2416c,-0.16,0.088
Rv2417c,-0.27,0.106
Rv2418c,-0.35,0.118
Rv2419c,0.14,0.363
Rv2420c,-0.43,0.011
Rv2421c,-0.66,0.007
Rv2426c,0.00,0.999
Rv2427c,0.08,0.450
Rv2428,0.06,0.787
Rv2429,0.18,0.208
Rv2430c,-0.93,0.070
Rv2438c,0.04,0.664
Rv2439c,-0.12,0.659
Rv2440c,-0.28,0.143
Rv2441c,-0.34,0.103
Rv2442c,-0.82,0.000
Rv2444c,0.16,0.300
Rv2445c,-0.28,0.007
Rv2447c,-0.25,0.046
Rv2448c,0.14,0.081
Rv2449c,0.00,0.980
Rv2453c,0.28,0.059
Rv2454c,-0.14,0.217
Rv2455c,-0.46,0.019
Rv2457c,0.13,0.256
Rv2459,-0.64,0.086
Rv2460c,-0.02,0.918
Rv2461c,0.01,0.931
Rv2462c,-0.51,0.000
Rv2463,-0.31,0.246
Rv2465c,0.11,0.265
Rv2466c,0.43,0.036
Rv2467,-0.22,0.196
Rv2468c,0.44,0.107
Rv2470,0.18,0.132
Rv2473,-0.08,0.609
Rv2474c,-0.05,0.918
Rv2475c,-0.28,0.052
Rv2476c,-0.02,0.862
Rv2477c,0.20,0.075
Rv2478c,2.16,0.012
Rv2482c,0.03,0.878
Rv2483c,0.39,0.035
Rv2484c,-0.11,0.434
Rv2486,-0.19,0.023
Rv2488c,0.36,0.274
Rv2493,-0.39,0.045
Rv2494,-0.16,0.298
Rv2495c,0.62,0.000
Rv2496c,0.79,0.000
Rv2497c,0.81,0.001
Rv2498c,0.29,0.010
Rv2499c,0.80,0.002
Rv2500c,1.09,0.000
Rv2501c,0.70,0.032
Rv2502c,0.35,0.089
Rv2503c,0.74,0.006
Rv2504c,1.00,0.000
Rv2506,0.80,0.000
Rv2509,-0.07,0.441
Rv2510c,-0.02,0.918
Rv2511,0.10,0.472
Rv2513,-0.12,0.477
Rv2516c,0.30,0.019
Rv2518c,-0.35,0.003
Rv2520c,-0.01,0.991
Rv2521,0.22,0.063
Rv2522c,0.07,0.695
Rv2524c,-1.62,0.000
Rv2525c,-1.89,0.002
Rv2526,-0.29,0.191
Rv2527,0.09,0.623
Rv2528c,-0.03,0.797
Rv2529,-0.58,0.030
Rv2530A,-0.14,0.830
Rv2530c,0.17,0.517
Rv2531c,-0.10,0.514
Rv2532c,-1.17,0.000
Rv2533c,0.08,0.517
Rv2534c,0.72,0.001
Rv2535c,0.28,0.031
Rv2536,0.06,0.859
Rv2537c,0.35,0.329
Rv2538c,-0.06,0.785
Rv2540c,0.53,0.000
Rv2548A,0.03,0.813
Rv2552c,0.14,0.168
Rv2553c,-0.98,0.001
Rv2554c,-0.62,0.000
Rv2555c,0.03,0.532
Rv2556c,0.34,0.216
Rv2557,1.77,0.003
Rv2558,1.21,0.011
Rv2559c,0.18,0.408
Rv2563,-0.45,0.002
Rv2564,0.24,0.339
Rv2565,0.14,0.222
Rv2566,0.26,0.086
Rv2567,-0.30,0.059
Rv2568c,-0.20,0.051
Rv2569c,-0.15,0.354
Rv2570,1.13,0.000
Rv2571c,-0.57,0.001
Rv2572c,0.04,0.775
Rv2574,-0.09,0.154
Rv2575,-0.57,0.000
Rv2576c,-0.50,0.187
Rv2579,0.34,0.041
Rv2580c,0.32,0.017
Rv2581c,-0.23,0.049
Rv2582,-0.31,0.074
Rv2583c,0.04,0.864
Rv2584c,-0.48,0.013
Rv2585c,0.01,0.980
Rv2586c,-0.03,0.811
Rv2587c,-0.03,0.791
Rv2588c,0.21,0.329
Rv2589,0.51,0.008
Rv2590,0.46,0.004
Rv2592c,0.59,0.007
Rv2593c,-0.08,0.708
Rv2595,-0.27,0.160
Rv2596,-0.06,0.933
Rv2597,-0.29,0.043
Rv2602,1.56,0.045
Rv2603c,-0.08,0.529
Rv2604c,-0.01,0.969
Rv2605c,0.29,0.009
Rv2606c,0.30,0.006
Rv2607,-0.04,0.811
Rv2609c,-0.26,0.044
Rv2610c,0.03,0.850
Rv2611c,0.27,0.399
Rv2613c,0.19,0.208
Rv2614c,0.14,0.225
Rv2616,0.11,0.426
Rv2618,-0.25,0.069
Rv2619c,2.10,0.000
Rv2620c,-0.29,0.136
Rv2622,-0.07,0.639
Rv2623,7.13,0.000
Rv2624c,3.49,0.000
Rv2625c,3.01,0.000
Rv2626c,6.61,0.000
Rv2627c,4.50,0.000
Rv2628,4.51,0.000
Rv2629,3.78,0.000
Rv2630,1.29,0.001
Rv2632c,-0.21,0.573
Rv2633c,0.08,0.709
Rv2637,-1.03,0.024
Rv2643,-0.50,0.232
Rv2650c,0.19,0.244
Rv2658c,0.88,0.000
Rv2664,0.22,0.377
Rv2670c,-0.11,0.697
Rv2671,-0.56,0.062
Rv2672,-0.53,0.000
Rv2673,-0.23,0.224
Rv2674,-0.06,0.617
Rv2675c,0.31,0.005
Rv2676c,0.15,0.276
Rv2677c,-0.16,0.084
Rv2678c,0.52,0.000
Rv2679,-0.58,0.012
Rv2680,0.14,0.092
Rv2681,0.45,0.335
Rv2682c,-0.14,0.546
Rv2683,-1.10,0.000
Rv2689c,-0.36,0.414
Rv2690c,0.00,0.999
Rv2691,0.40,0.006
Rv2692,0.50,0.003
Rv2694c,0.00,0.986
Rv2695,0.31,0.003
Rv2696c,-0.26,0.019
Rv2697c,-0.24,0.056
Rv2699c,-0.59,0.066
Rv2700,-0.89,0.000
Rv2701c,-0.09,0.513
Rv2702,-1.16,0.019
Rv2703,-0.26,0.082
Rv2705c,-0.42,0.071
Rv2707,0.09,0.790
Rv2708c,-2.10,0.000
Rv2709,-0.35,0.019
Rv2710,-0.18,0.406
Rv2711,0.33,0.004
Rv2713,0.30,0.016
Rv2714,-0.44,0.005
Rv2715,-0.81,0.001
Rv2716,0.17,0.441
Rv2717c,-0.17,0.538
Rv2718c,0.00,0.988
Rv2720,0.18,0.309
Rv2721c,-0.29,0.031
Rv2724c,0.82,0.001
Rv2725c,0.91,0.093
Rv2726c,0.13,0.160
Rv2728c,-0.36,0.005
Rv2731,0.39,0.012
Rv2732c,-0.38,0.043
Rv2733c,0.65,0.300
Rv2737c,0.02,0.949
Rv2738c,-0.78,0.004
Rv2739c,0.04,0.798
Rv2740,-0.36,0.108
Rv2743c,0.07,0.711
Rv2744c,-0.04,0.697
Rv2745c,0.62,0.008
Rv2747,0.52,0.043
Rv2748c,0.92,0.008
Rv2749,0.26,0.136
Rv2750,0.39,0.047
Rv2751,0.26,0.006
Rv2752c,-0.07,0.544
Rv2753c,-0.03,0.933
Rv2754c,0.14,0.318
Rv2756c,-0.59,0.003
Rv2760c,0.08,0.592
Rv2761c,0.60,0.168
Rv2763c,-0.23,0.495
Rv2764c,-0.13,0.376
Rv2765,-0.23,0.051
Rv2766c,0.34,0.009
Rv2771c,0.79,0.211
Rv2772c,-0.28,0.134
Rv2773c,0.14,0.340
Rv2775,-0.18,0.398
Rv2778c,-0.46,0.016
Rv2780,3.20,0.000
Rv2781c,-0.59,0.070
Rv2782c,0.31,0.340
Rv2783c,-0.08,0.403
Rv2785c,-0.35,0.060
Rv2786c,0.54,0.106
Rv2788,0.31,0.034
Rv2789c,-0.15,0.199
Rv2790c,-0.15,0.105
Rv2793c,-0.62,0.001
Rv2794c,-1.37,0.000
Rv2795c,0.13,0.353
Rv2799,-0.50,0.044
Rv2802c,-1.16,0.002
Rv2808,-0.56,0.009
Rv2818c,-0.12,0.320
Rv2821c,-0.41,0.092
Rv2824c,-0.29,0.304
Rv2826c,1.16,0.072
Rv2827c,-0.37,0.035
Rv2828A,-0.32,0.399
Rv2829c,1.13,0.001
Rv2830c,1.61,0.012
Rv2831,0.01,0.962
Rv2837c,-0.32,0.012
Rv2838c,-0.60,0.000
Rv2839c,-0.18,0.380
Rv2840c,0.09,0.900
Rv2841c,0.36,0.042
Rv2842c,0.13,0.536
Rv2843,-0.24,0.241
Rv2844,-0.12,0.626
Rv2845c,0.19,0.105
Rv2846c,-1.60,0.000
Rv2847c,-0.06,0.809
Rv2848c,-0.31,0.278
Rv2849c,1.15,0.002
Rv2850c,0.00,0.999
Rv2851c,0.32,0.106
Rv2852c,0.20,0.100
Rv2854,-0.42,0.106
Rv2855,-0.59,0.002
Rv2857c,-1.06,0.000
Rv2858c,-0.15,0.101
Rv2859c,-0.28,0.199
Rv2860c,-0.06,0.657
Rv2861c,-0.02,0.929
Rv2868c,0.33,0.003
Rv2869c,-1.22,0.000
Rv2870c,0.54,0.013
Rv2871,-0.03,0.937
Rv2872,0.29,0.079
Rv2873,-0.19,0.171
Rv2875,-0.83,0.035
Rv2878c,-1.25,0.001
Rv2882c,0.25,0.037
Rv2883c,0.10,0.326
Rv2886c,0.48,0.071
Rv2887,0.04,0.869
Rv2888c,-0.13,0.222
Rv2889c,-0.01,0.911
Rv2890c,-0.35,0.035
Rv2893,0.48,0.018
Rv2895c,-0.18,0.225
Rv2901c,0.19,0.106
Rv2902c,-2.11,0.156
Rv2903c,-0.18,0.089
Rv2904c,-0.39,0.304
Rv2906c,0.29,0.012
Rv2907c,0.39,0.041
Rv2908c,-0.45,0.011
Rv2909c,-0.08,0.850
Rv2911,-1.36,0.000
Rv2914c,-0.71,0.098
Rv2915c,-0.41,0.556
Rv2916c,-0.05,0.853
Rv2918c,-0.64,0.108
Rv2919c,0.20,0.168
Rv2921c,0.16,0.020
Rv2922A,-0.26,0.043
Rv2922c,-0.23,0.003
Rv2923c,0.44,0.001
Rv2925c,0.50,0.002
Rv2926c,0.46,0.040
Rv2927c,0.92,0.001
Rv2928,0.03,0.849
Rv2930,-0.80,0.029
Rv2931,-0.57,0.061
Rv2932,-0.25,0.230
Rv2933,-0.42,0.068
Rv2934,-0.31,0.126
Rv2935,-0.26,0.362
Rv2936,-0.57,0.051
Rv2937,-1.13,0.016
Rv2939,-0.25,0.070
Rv2940c,-0.45,0.060
Rv2941,-0.22,0.002
Rv2942,0.00,0.980
Rv2945c,-0.89,0.000
Rv2946c,-1.14,0.001
Rv2947c,-1.10,0.001
Rv2948c,-0.70,0.008
Rv2949c,-0.96,0.000
Rv2950c,-1.02,0.000
Rv2951c,0.14,0.459
Rv2952,-0.55,0.014
Rv2953,-0.20,0.320
Rv2954c,-0.85,0.002
Rv2955c,0.06,0.351
Rv2956,-0.12,0.583
Rv2957,-0.27,0.190
Rv2958c,-0.10,0.867
