Gene,Value,padj
Rv1429,0.09,0.692
Rv1432,-0.10,0.750
Rv1436,0.00,0.964
Rv1437,0.03,0.712
Rv1438,0.19,0.167
Rv1439c,0.03,0.898
Rv1442,0.19,0.562
Rv1443c,0.02,0.920
Rv1444c,-0.24,0.174
Rv1445c,0.10,0.477
Rv1446c,-0.53,0.009
Rv1447c,-0.40,0.003
Rv1448c,-0.01,0.964
Rv1449c,0.06,0.660
Rv1454c,0.00,0.979
Rv1455,0.21,0.125
Rv1458c,0.13,0.643
Rv1459c,-0.24,0.126
Rv1461,-0.66,0.001
Rv1462,-0.74,0.001
Rv1463,-0.57,0.010
Rv1464,-0.52,0.003
Rv1465,-0.83,0.000
Rv1466,-0.80,0.003
Rv1467c,0.64,0.003
Rv1470,-0.07,0.675
Rv1471,-1.43,0.000
Rv1472,-0.96,0.001
Rv1473,-0.80,0.000
Rv1474c,0.04,0.892
Rv1475c,0.34,0.016
Rv1476,-0.55,0.001
Rv1477,-0.07,0.841
Rv1479,-0.11,0.218
Rv1480,-0.02,0.821
Rv1481,-0.21,0.136
Rv1483,-0.59,0.001
Rv1484,-0.07,0.491
Rv1486c,0.30,0.348
Rv1487,-1.05,0.001
Rv1488,0.44,0.003
Rv1489,-0.13,0.239
Rv1492,0.38,0.007
Rv1493,0.54,0.001
Rv1495,0.68,0.009
Rv1496,0.17,0.083
Rv1498A,0.27,0.354
Rv1498c,-0.22,0.070
Rv1500,-1.58,0.001
Rv1501,-0.14,0.542
Rv1507c,-0.28,0.031
Rv1508c,-0.83,0.047
Rv1511,0.00,0.996
Rv1512,-0.48,0.001
Rv1513,-0.12,0.402
Rv1514c,-0.55,0.055
Rv1515c,0.63,0.049
Rv1516c,-0.30,0.026
Rv1521,-0.23,0.004
Rv1523,-0.24,0.230
Rv1524,-0.42,0.127
Rv1527c,-0.68,0.003
Rv1529,-0.13,0.569
Rv1531,0.16,0.296
Rv1532c,0.49,0.011
Rv1533,0.02,0.903
Rv1534,-0.48,0.002
Rv1536,-0.11,0.129
Rv1538c,0.18,0.093
Rv1539,-0.54,0.663
Rv1540,-0.13,0.398
Rv1543,-0.75,0.008
Rv1544,0.26,0.342
Rv1546,-0.24,0.164
Rv1547,-1.14,0.002
Rv1550,0.08,0.657
Rv1551,-0.35,0.341
Rv1556,0.32,0.033
Rv1558,-0.10,0.229
Rv1559,0.21,0.062
Rv1564c,0.15,0.248
Rv1566c,-0.66,0.019
Rv1568,-0.32,0.015
Rv1569,-1.54,0.001
Rv1570,0.22,0.318
Rv1571,-0.82,0.063
Rv1576c,0.26,0.145
Rv1578c,-0.23,0.547
Rv1579c,0.11,0.811
Rv1580c,-0.18,0.522
Rv1585c,0.62,0.012
Rv1586c,0.46,0.203
Rv1589,-0.74,0.000
Rv1590,-1.22,0.000
Rv1591,-0.15,0.391
Rv1592c,-1.08,0.000
Rv1593c,0.26,0.489
Rv1594,-0.52,0.000
Rv1595,-1.28,0.000
Rv1596,-0.34,0.004
Rv1598c,-0.01,0.969
Rv1599,0.56,0.004
Rv1600,0.51,0.000
Rv1601,0.89,0.004
Rv1602,0.03,0.727
Rv1603,0.33,0.005
Rv1605,0.25,0.062
Rv1607,-0.47,0.047
Rv1608c,0.16,0.016
Rv1609,0.18,0.069
Rv1610,-0.20,0.341
Rv1611,-0.26,0.012
Rv1612,-0.19,0.163
Rv1613,-0.12,0.340
Rv1614,-0.05,0.885
Rv1617,-0.06,0.378
Rv1618,-0.80,0.004
Rv1621c,0.89,0.001
Rv1622c,1.67,0.000
Rv1623c,2.14,0.000
Rv1624c,-2.17,0.003
Rv1625c,0.43,0.001
Rv1626,0.58,0.015
Rv1627c,0.18,0.172
Rv1628c,0.09,0.464
Rv1629,0.25,0.010
Rv1630,-0.18,0.038
Rv1631,-0.19,0.055
Rv1632c,0.09,0.589
Rv1633,0.22,0.067
Rv1636,0.12,0.240
Rv1637c,0.05,0.785
Rv1638,0.16,0.342
Rv1638A,-0.29,0.191
Rv1640c,-0.13,0.229
Rv1641,-0.20,0.242
Rv1642,2.17,0.008
Rv1643,1.33,0.011
Rv1647,-0.16,0.457
Rv1649,-0.30,0.015
Rv1650,-0.18,0.097
Rv1652,0.66,0.000
Rv1653,0.53,0.004
Rv1654,0.60,0.002
Rv1655,0.89,0.000
Rv1656,0.73,0.001
Rv1657,0.24,0.082
Rv1658,0.43,0.002
Rv1659,0.14,0.203
Rv1660,0.03,0.863
Rv1665,-0.35,0.092
Rv1676,0.13,0.174
Rv1677,0.18,0.550
Rv1679,-0.27,0.017
Rv1680,-0.05,0.786
Rv1683,0.07,0.525
Rv1684,0.07,0.863
Rv1687c,-0.68,0.009
Rv1689,-0.06,0.542
Rv1691,-0.91,0.000
Rv1692,0.00,0.993
Rv1693,-0.90,0.001
Rv1695,0.56,0.026
Rv1696,-0.01,0.954
Rv1697,-0.78,0.002
Rv1698,-0.13,0.342
Rv1699,-0.03,0.735
Rv1700,-0.04,0.844
Rv1701,-0.48,0.255
Rv1703c,0.02,0.880
Rv1704c,-1.65,0.000
Rv1707,-0.03,0.871
Rv1708,-0.25,0.127
Rv1710,-0.15,0.238
Rv1711,-0.67,0.000
Rv1712,-0.29,0.093
Rv1713,-0.07,0.584
Rv1719,0.17,0.063
Rv1721c,-0.58,0.013
Rv1722,-0.11,0.234
Rv1728c,-0.30,0.370
Rv1729c,0.08,0.641
Rv1730c,0.11,0.626
Rv1731,-0.18,0.136
Rv1732c,0.04,0.511
Rv1736c,0.45,0.057
Rv1737c,2.11,0.000
Rv1738,6.64,0.000
Rv1742,0.72,0.096
Rv1743,-0.03,0.794
Rv1745c,-0.29,0.194
Rv1746,-0.16,0.298
Rv1747,-0.20,0.039
Rv1748,0.72,0.000
Rv1749c,-0.56,0.010
Rv1750c,0.21,0.230
Rv1751,-0.31,0.016
Rv1761c,-0.28,0.152
Rv1762c,-0.19,0.377
Rv1769,-0.07,0.642
Rv1770,0.11,0.230
Rv1771,-0.14,0.249
Rv1772,0.36,0.505
Rv1773c,0.34,0.006
Rv1778c,-0.09,0.507
Rv1779c,0.65,0.017
Rv1780,-0.48,0.027
Rv1782,-0.08,0.789
Rv1783,-0.11,0.194
Rv1785c,-0.48,0.141
Rv1789,-0.10,0.733
Rv1793,1.05,0.003
Rv1794,-0.03,0.787
Rv1795,-0.38,0.010
Rv1796,-0.15,0.098
Rv1797,-0.12,0.230
Rv1798,-0.18,0.167
Rv1800,-0.30,0.274
Rv1805c,0.01,0.969
Rv1807,0.01,0.996
Rv1808,-0.81,0.057
Rv1810,-1.48,0.009
Rv1812c,-0.91,0.001
Rv1813c,3.18,0.000
Rv1819c,-0.04,0.644
Rv1820,0.42,0.007
Rv1821,-0.15,0.237
Rv1823,-0.49,0.000
Rv1825,-0.27,0.008
Rv1826,0.12,0.558
Rv1827,0.45,0.302
Rv1828,-0.08,0.549
Rv1829,0.05,0.773
Rv1830,-0.59,0.043
Rv1832,0.48,0.014
Rv1833c,-0.22,0.056
Rv1834,0.70,0.024
Rv1835c,-0.03,0.878
Rv1836c,-0.09,0.581
Rv1837c,0.05,0.617
Rv1838c,0.13,0.777
Rv1841c,-0.30,0.228
Rv1842c,-1.09,0.000
Rv1843c,0.20,0.009
Rv1844c,0.12,0.504
Rv1847,-0.09,0.652
Rv1848,-0.69,0.007
Rv1850,-0.25,0.136
Rv1852,-0.07,0.725
Rv1854c,0.73,0.001
Rv1855c,0.21,0.293
Rv1856c,0.00,0.987
Rv1857,-0.09,0.784
Rv1860,-0.14,0.566
Rv1862,0.64,0.114
Rv1864c,0.00,0.999
Rv1865c,-0.25,0.422
Rv1866,-0.67,0.003
Rv1867,0.45,0.041
Rv1869c,0.10,0.323
Rv1871c,0.32,0.405
Rv1872c,-0.02,0.934
Rv1874,0.14,0.496
Rv1875,-0.12,0.318
Rv1876,-0.47,0.147
Rv1878,0.12,0.422
Rv1880c,-0.68,0.000
Rv1881c,0.17,0.504
Rv1882c,-0.03,0.878
Rv1883c,-0.17,0.363
Rv1884c,0.31,0.168
Rv1885c,-0.69,0.001
Rv1886c,-0.46,0.132
Rv1887,-2.39,0.002
Rv1890c,-0.38,0.514
Rv1891,-1.28,0.055
Rv1893,0.00,1.000
Rv1894c,1.23,0.000
Rv1895,-0.30,0.171
Rv1896c,-0.17,0.087
Rv1897c,-0.19,0.568
Rv1898,0.72,0.036
Rv1899c,0.08,0.737
Rv1900c,0.25,0.212
Rv1901,-0.16,0.245
Rv1904,-1.37,0.001
Rv1905c,0.04,0.695
Rv1906c,-1.20,0.013
Rv1908c,-0.36,0.003
Rv1910c,0.03,0.953
Rv1911c,-0.06,0.671
Rv1912c,-0.35,0.090
Rv1914c,-0.03,0.964
Rv1915,0.11,0.671
Rv1919c,-0.32,0.037
Rv1920,-0.29,0.158
Rv1922,-0.18,0.730
Rv1923,-1.14,0.000
Rv1924c,-0.66,0.003
Rv1925,-0.40,0.001
Rv1926c,-0.20,0.689
Rv1927,-0.76,0.111
Rv1928c,0.20,0.581
Rv1932,0.06,0.681
Rv1938,0.38,0.003
Rv1942c,-0.19,0.018
Rv1943c,-0.20,0.207
Rv1944c,0.15,0.293
Rv1954A,2.61,0.000
Rv1956,-0.29,0.245
Rv1957,-0.31,0.126
Rv1960c,-0.36,0.030
Rv1962c,0.10,0.744
Rv1963c,-0.31,0.290
Rv1976c,0.08,0.639
Rv1977,0.28,0.018
Rv1978,0.28,0.293
Rv1980c,-0.94,0.008
Rv1981c,0.18,0.464
Rv1982A,0.21,0.397
Rv1984c,-0.80,0.055
Rv1987,-1.61,0.000
Rv1989c,0.65,0.009
Rv1990c,0.10,0.475
Rv1991c,0.02,0.898
Rv1993c,0.35,0.200
Rv1994c,-0.32,0.464
Rv1996,4.53,0.000
Rv1997,2.04,0.000
Rv1998c,-0.89,0.002
Rv2000,-0.89,0.000
Rv2001,-0.25,0.055
Rv2002,-0.33,0.040
Rv2003c,1.54,0.000
Rv2004c,2.24,0.000
Rv2005c,3.96,0.000
Rv2006,0.50,0.044
Rv2007c,4.15,0.000
Rv2008c,0.04,0.867
Rv2012,-0.95,0.010
Rv2016,-0.31,0.064
Rv2018,-0.14,0.467
Rv2019,0.00,0.998
Rv2021c,-0.38,0.362
Rv2026c,-0.56,0.136
Rv2027c,-0.31,0.252
Rv2028c,3.99,0.000
Rv2029c,2.39,0.000
Rv2030c,4.40,0.000
Rv2031c,8.16,0.000
Rv2032,6.20,0.000
Rv2033c,-1.10,0.030
Rv2035,0.34,0.011
Rv2037c,0.53,0.007
Rv2038c,1.77,0.000
Rv2041c,0.06,0.810
Rv2042c,0.19,0.300
Rv2043c,1.02,0.000
Rv2046,-0.35,0.182
Rv2047c,-0.46,0.354
Rv2048c,-0.75,0.000
Rv2050,-0.23,0.073
Rv2051c,-0.81,0.000
Rv2052c,0.20,0.339
Rv2053c,-0.51,0.028
Rv2054,-0.46,0.002
Rv2055c,-0.33,0.427
Rv2061c,-0.03,0.874
Rv2062c,0.00,0.996
Rv2063,0.53,0.087
Rv2064,-0.34,0.310
Rv2065,-0.09,0.411
Rv2066,0.01,0.915
Rv2067c,-0.12,0.408
Rv2068c,-0.31,0.189
Rv2070c,-0.94,0.013
Rv2073c,-0.18,0.218
Rv2074,0.45,0.058
Rv2080,-0.45,0.045
Rv2082,-0.90,0.032
Rv2088,-0.28,0.007
Rv2089c,0.45,0.058
Rv2090,-0.12,0.360
Rv2091c,-0.43,0.045
Rv2092c,-0.18,0.115
Rv2093c,-0.63,0.001
Rv2094c,-0.04,0.643
Rv2095c,0.41,0.010
Rv2096c,0.46,0.000
Rv2097c,0.18,0.026
Rv2101,-0.90,0.000
Rv2102,-1.00,0.000
Rv2103c,0.74,0.002
Rv2104c,0.32,0.539
Rv2109c,0.12,0.069
Rv2110c,0.18,0.377
Rv2111c,0.82,0.002
Rv2112c,0.15,0.131
Rv2113,-0.37,0.010
Rv2114,-0.34,0.014
Rv2115c,0.41,0.001
Rv2117,-0.14,0.397
Rv2118c,0.09,0.676
Rv2121c,-0.04,0.826
Rv2122c,-0.49,0.004
Rv2124c,-0.60,0.001
Rv2125,-0.30,0.264
Rv2129c,-0.21,0.046
Rv2130c,0.08,0.194
Rv2131c,0.14,0.090
Rv2134c,0.51,0.017
Rv2135c,-0.07,0.877
Rv2137c,0.34,0.073
Rv2138,0.21,0.061
Rv2139,-0.76,0.005
Rv2140c,0.26,0.096
Rv2141c,0.41,0.015
Rv2145c,-0.10,0.457
Rv2147c,-1.20,0.000
Rv2148c,-0.22,0.242
Rv2149c,0.23,0.052
Rv2150c,-0.53,0.009
Rv2151c,-0.26,0.371
Rv2152c,-0.14,0.294
Rv2153c,-0.32,0.171
Rv2155c,-0.47,0.008
Rv2156c,-0.01,0.968
Rv2157c,-0.07,0.418
Rv2158c,0.34,0.004
Rv2159c,0.67,0.010
Rv2161c,0.93,0.000
Rv2163c,-0.96,0.006
Rv2164c,-1.73,0.002
Rv2165c,0.32,0.060
Rv2166c,0.56,0.000
Rv2169c,-0.24,0.247
Rv2171,-0.75,0.049
Rv2172c,0.14,0.258
Rv2173,-0.44,0.000
Rv2175c,0.36,0.003
Rv2176,-0.89,0.052
Rv2178c,-0.10,0.373
Rv2179c,-0.51,0.008
Rv2181,-0.31,0.097
Rv2182c,0.21,0.329
Rv2183c,-0.35,0.001
Rv2184c,-0.29,0.240
Rv2185c,0.07,0.726
Rv2187,-0.14,0.073
Rv2190c,-0.77,0.006
Rv2192c,0.10,0.403
Rv2193,-1.15,0.022
Rv2194,-0.07,0.699
Rv2195,-0.02,0.779
Rv2196,-0.23,0.029
Rv2197c,-0.26,0.249
Rv2198c,-0.07,0.598
Rv2200c,-0.33,0.039
Rv2201,-0.36,0.001
Rv2202c,-0.04,0.671
Rv2203,-0.39,0.139
Rv2204c,-0.65,0.005
Rv2206,0.37,0.052
Rv2207,-0.29,0.001
Rv2210c,0.41,0.002
Rv2211c,0.04,0.750
Rv2212,0.12,0.188
Rv2213,-0.25,0.020
Rv2214c,-0.45,0.123
Rv2215,0.29,0.007
Rv2216,0.30,0.057
Rv2217,-0.23,0.408
Rv2218,-0.32,0.080
Rv2219,-0.32,0.062
Rv2220,-0.10,0.395
Rv2221c,-0.60,0.003
Rv2222c,0.13,0.560
Rv2223c,-0.77,0.000
Rv2224c,-0.33,0.006
Rv2225,0.56,0.008
Rv2226,-0.50,0.000
Rv2228c,0.00,0.996
Rv2229c,-0.18,0.384
Rv2230c,0.18,0.337
Rv2231c,-0.76,0.001
Rv2234,-0.35,0.260
Rv2235,-0.93,0.003
Rv2237,-0.33,0.051
Rv2237A,-0.10,0.676
Rv2238c,0.20,0.152
Rv2239c,-0.05,0.784
Rv2240c,-0.69,0.015
Rv2241,0.17,0.197
Rv2242,0.00,0.987
Rv2243,-0.54,0.014
Rv2244,-1.15,0.000
Rv2245,0.04,0.748
Rv2246,0.10,0.601
Rv2247,-1.92,0.000
Rv2248,0.40,0.095
Rv2249c,0.01,0.978
Rv2250A,-0.29,0.035
Rv2251,-0.11,0.158
Rv2252,-0.13,0.383
Rv2256c,0.78,0.009
Rv2257c,-0.23,0.041
Rv2258c,-0.52,0.000
Rv2259,0.12,0.394
Rv2260,-0.24,0.224
Rv2263,0.07,0.769
Rv2265,0.37,0.423
Rv2271,-1.34,0.000
Rv2272,-0.49,0.127
Rv2275,-0.59,0.012
Rv2276,-1.03,0.001
Rv2280,0.44,0.024
Rv2282c,-0.13,0.240
Rv2284,-0.04,0.769
Rv2285,0.20,0.126
Rv2286c,-0.12,0.253
Rv2289,-1.15,0.001
Rv2290,-0.22,0.390
Rv2291,0.59,0.003
Rv2294,-0.35,0.003
Rv2295,-0.97,0.013
Rv2296,0.13,0.158
Rv2297,-0.27,0.088
Rv2298,0.03,0.817
Rv2299c,0.08,0.625
Rv2301,-0.56,0.002
Rv2302,0.49,0.256
Rv2305,-0.05,0.735
Rv2314c,-0.01,0.872
Rv2315c,0.31,0.000
Rv2325c,-0.82,0.317
Rv2326c,-0.20,0.016
Rv2327,0.17,0.261
Rv2332,0.21,0.285
Rv2334,0.46,0.001
Rv2335,-0.05,0.871
Rv2338c,-0.44,0.019
Rv2342,-0.47,0.291
Rv2343c,-0.25,0.153
Rv2344c,0.07,0.655
Rv2345,-0.04,0.520
Rv2346c,0.73,0.037
Rv2350c,-0.61,0.001
Rv2351c,-0.34,0.038
Rv2357c,0.05,0.505
Rv2358,-0.20,0.340
Rv2359,0.68,0.002
Rv2360c,0.07,0.556
Rv2361c,0.22,0.197
Rv2363,-0.10,0.358
Rv2364c,-0.15,0.433
Rv2365c,-0.64,0.023
Rv2366c,-0.11,0.691
Rv2367c,0.20,0.601
Rv2368c,0.83,0.001
Rv2373c,0.09,0.541
Rv2374c,0.69,0.000
Rv2375,-0.17,0.305
Rv2376c,-0.99,0.021
Rv2377c,-1.15,0.061
Rv2378c,0.06,0.825
Rv2380c,-0.06,0.750
Rv2383c,-0.83,0.036
Rv2386c,-0.10,0.882
Rv2387,-0.33,0.020
Rv2391,0.53,0.007
Rv2392,0.73,0.000
Rv2394,-0.15,0.019
Rv2397c,-0.46,0.025
Rv2400c,0.22,0.045
Rv2402,0.32,0.080
Rv2403c,-0.19,0.327
Rv2404c,0.01,0.917
Rv2405,0.17,0.542
Rv2406c,-0.18,0.461
Rv2409c,-0.19,0.303
Rv2410c,-0.26,0.052
Rv2411c,0.10,0.305
Rv2412,-0.14,0.741
Rv2413c,-0.44,0.122
Rv2416c,-0.06,0.505
Rv2417c,-0.46,0.014
Rv2418c,-0.39,0.084
Rv2419c,0.01,0.946
Rv2420c,-0.58,0.002
Rv2421c,-0.26,0.207
Rv2426c,0.07,0.405
Rv2427c,0.16,0.118
Rv2428,0.23,0.255
Rv2429,0.06,0.686
Rv2430c,-1.59,0.007
Rv2438c,0.23,0.018
Rv2439c,-0.04,0.884
Rv2440c,-0.31,0.115
Rv2441c,-0.26,0.217
Rv2442c,-0.63,0.002
Rv2444c,0.12,0.414
Rv2445c,-0.25,0.013
Rv2447c,-0.25,0.045
Rv2448c,0.24,0.009
Rv2449c,-0.06,0.603
Rv2453c,0.41,0.012
Rv2454c,0.05,0.676
Rv2455c,-0.19,0.285
Rv2457c,0.25,0.037
Rv2459,-0.67,0.075
Rv2460c,0.05,0.710
Rv2461c,0.03,0.807
Rv2462c,-0.31,0.008
Rv2463,-0.51,0.066
Rv2465c,0.30,0.010
Rv2466c,0.27,0.164
Rv2467,-0.10,0.537
Rv2468c,0.58,0.044
Rv2470,0.32,0.017
Rv2473,-0.29,0.084
Rv2474c,-0.12,0.798
Rv2475c,-0.32,0.031
Rv2476c,-0.07,0.483
Rv2477c,0.26,0.026
Rv2478c,2.27,0.010
Rv2482c,-0.03,0.885
Rv2483c,0.26,0.135
Rv2484c,-0.21,0.139
Rv2486,-0.14,0.078
Rv2488c,0.34,0.305
Rv2493,-0.86,0.001
Rv2494,-0.04,0.785
Rv2495c,0.47,0.000
Rv2496c,0.85,0.000
Rv2497c,0.87,0.000
Rv2498c,0.35,0.004
Rv2499c,0.83,0.002
Rv2500c,0.92,0.000
Rv2501c,0.45,0.139
Rv2502c,0.47,0.031
Rv2503c,0.51,0.035
Rv2504c,0.96,0.000
Rv2506,0.58,0.001
Rv2509,-0.23,0.018
Rv2510c,-0.14,0.300
Rv2511,0.06,0.683
Rv2513,-0.19,0.255
Rv2516c,0.23,0.057
Rv2518c,-0.21,0.032
Rv2520c,0.00,1.000
Rv2521,0.17,0.133
Rv2522c,-0.04,0.810
Rv2524c,-2.18,0.000
Rv2525c,-2.06,0.001
Rv2526,-0.07,0.759
Rv2527,-0.14,0.408
Rv2528c,-0.05,0.609
Rv2529,-0.63,0.021
Rv2530A,-0.73,0.214
Rv2530c,0.14,0.588
Rv2531c,-0.06,0.701
Rv2532c,-1.50,0.000
Rv2533c,0.08,0.505
Rv2534c,0.66,0.002
Rv2535c,0.38,0.008
Rv2536,-0.18,0.557
Rv2537c,0.31,0.395
Rv2538c,0.10,0.581
Rv2540c,0.51,0.000
Rv2548A,0.07,0.551
Rv2552c,-0.18,0.082
Rv2553c,-0.73,0.007
Rv2554c,-0.38,0.003
Rv2555c,0.08,0.152
Rv2556c,0.48,0.093
Rv2557,1.62,0.005
Rv2558,1.46,0.004
Rv2559c,-0.06,0.785
Rv2563,-0.52,0.001
Rv2564,-0.02,0.943
Rv2565,-0.12,0.294
Rv2566,0.21,0.156
Rv2567,-0.51,0.005
Rv2568c,-0.15,0.131
Rv2569c,-0.23,0.152
Rv2570,0.94,0.001
Rv2571c,-0.33,0.015
Rv2572c,-0.13,0.278
Rv2574,-0.22,0.005
Rv2575,-0.17,0.075
Rv2576c,0.16,0.668
Rv2579,0.34,0.038
Rv2580c,0.26,0.041
Rv2581c,0.01,0.951
Rv2582,-0.22,0.185
Rv2583c,-0.32,0.146
Rv2584c,-0.55,0.008
Rv2585c,0.01,0.971
Rv2586c,-0.17,0.163
Rv2587c,-0.21,0.078
Rv2588c,0.01,0.975
Rv2589,0.58,0.004
Rv2590,0.21,0.123
Rv2592c,0.46,0.023
Rv2593c,-0.45,0.034
Rv2595,-0.35,0.078
Rv2596,-0.17,0.777
Rv2597,-0.27,0.054
Rv2602,0.63,0.387
Rv2603c,0.00,0.982
Rv2604c,0.04,0.747
Rv2605c,0.27,0.013
Rv2606c,0.27,0.010
Rv2607,-0.09,0.525
Rv2609c,-0.21,0.092
Rv2610c,-0.03,0.829
Rv2611c,-0.01,0.981
Rv2613c,0.24,0.113
Rv2614c,0.24,0.056
Rv2616,-0.15,0.263
Rv2618,-0.36,0.017
Rv2619c,2.19,0.000
Rv2620c,-0.11,0.559
Rv2622,-0.36,0.025
Rv2623,7.38,0.000
Rv2624c,3.84,0.000
Rv2625c,3.39,0.000
Rv2626c,6.81,0.000
Rv2627c,4.27,0.000
Rv2628,3.64,0.000
Rv2629,3.73,0.000
Rv2630,0.80,0.011
Rv2632c,-0.09,0.815
Rv2633c,-0.11,0.594
Rv2637,-0.29,0.489
Rv2643,-0.71,0.097
Rv2650c,0.06,0.733
Rv2658c,0.92,0.000
Rv2664,0.04,0.888
Rv2670c,-0.35,0.188
Rv2671,-0.60,0.050
Rv2672,-0.30,0.008
Rv2673,-0.05,0.800
Rv2674,-0.07,0.540
Rv2675c,0.44,0.001
Rv2676c,0.23,0.097
Rv2677c,-0.16,0.073
Rv2678c,0.46,0.001
Rv2679,-0.28,0.167
Rv2680,0.25,0.010
Rv2681,0.27,0.566
Rv2682c,-0.01,0.969
Rv2683,-1.00,0.001
Rv2689c,-0.69,0.118
Rv2690c,-0.10,0.588
Rv2691,0.45,0.004
Rv2692,0.57,0.002
Rv2694c,0.12,0.541
Rv2695,0.43,0.001
Rv2696c,-0.25,0.021
Rv2697c,-0.34,0.012
Rv2699c,-0.76,0.024
Rv2700,-0.59,0.002
Rv2701c,-0.15,0.275
Rv2702,-1.17,0.018
Rv2703,-0.43,0.010
Rv2705c,-0.24,0.295
Rv2707,-0.23,0.448
Rv2708c,-2.30,0.000
Rv2709,-0.16,0.222
Rv2710,-0.16,0.454
Rv2711,0.32,0.005
Rv2713,0.18,0.113
Rv2714,-0.21,0.118
Rv2715,-1.12,0.000
Rv2716,0.02,0.928
Rv2717c,-0.23,0.408
Rv2718c,0.28,0.023
Rv2720,0.09,0.635
Rv2721c,-0.34,0.015
Rv2724c,0.72,0.002
Rv2725c,1.37,0.020
Rv2726c,0.14,0.128
Rv2728c,-0.25,0.029
Rv2731,0.45,0.006
Rv2732c,-0.35,0.059
Rv2733c,0.38,0.547
Rv2737c,-0.12,0.564
Rv2738c,-0.71,0.007
Rv2739c,-0.09,0.470
Rv2740,0.12,0.584
Rv2743c,-0.09,0.583
Rv2744c,0.03,0.757
Rv2745c,0.16,0.406
Rv2747,0.17,0.485
Rv2748c,0.57,0.063
Rv2749,0.23,0.174
Rv2750,0.13,0.487
Rv2751,0.21,0.015
Rv2752c,-0.13,0.264
Rv2753c,0.13,0.696
Rv2754c,-0.02,0.874
Rv2756c,-0.55,0.005
Rv2760c,-0.07,0.626
Rv2761c,-0.02,0.972
Rv2763c,-0.76,0.032
Rv2764c,-0.12,0.417
Rv2765,0.04,0.714
Rv2766c,0.18,0.108
Rv2771c,0.75,0.234
Rv2772c,-0.30,0.107
Rv2773c,0.23,0.121
Rv2775,-0.48,0.031
Rv2778c,-0.51,0.010
Rv2780,3.53,0.000
Rv2781c,-0.49,0.125
Rv2782c,0.45,0.167
Rv2783c,-0.10,0.278
Rv2785c,-0.47,0.019
Rv2786c,0.62,0.070
Rv2788,0.55,0.002
Rv2789c,-0.04,0.759
Rv2790c,-0.05,0.551
Rv2793c,-0.94,0.000
Rv2794c,-1.24,0.001
Rv2795c,0.20,0.176
Rv2799,-0.33,0.154
Rv2802c,-0.12,0.681
Rv2808,-0.56,0.009
Rv2818c,0.13,0.274
Rv2821c,-0.64,0.016
Rv2824c,-0.58,0.052
Rv2826c,0.89,0.155
Rv2827c,0.17,0.293
Rv2828A,-0.96,0.023
Rv2829c,0.99,0.002
Rv2830c,1.68,0.010
Rv2831,-0.04,0.786
Rv2837c,-0.48,0.001
Rv2838c,-0.35,0.001
Rv2839c,-0.40,0.072
Rv2840c,-0.36,0.575
Rv2841c,0.40,0.030
Rv2842c,0.03,0.898
Rv2843,-0.10,0.641
Rv2844,0.15,0.560
Rv2845c,0.06,0.603
Rv2846c,-1.68,0.000
Rv2847c,-0.04,0.863
Rv2848c,-0.28,0.326
Rv2849c,1.02,0.003
Rv2850c,0.19,0.339
Rv2851c,0.27,0.171
Rv2852c,0.10,0.398
Rv2854,-0.52,0.053
Rv2855,-0.71,0.001
Rv2857c,-0.79,0.001
Rv2858c,-0.06,0.479
Rv2859c,-0.24,0.259
Rv2860c,0.18,0.167
Rv2861c,0.12,0.473
Rv2868c,0.31,0.004
Rv2869c,-1.00,0.000
Rv2870c,0.67,0.005
Rv2871,-0.29,0.290
Rv2872,0.46,0.012
Rv2873,0.06,0.685
Rv2875,-0.04,0.915
Rv2878c,-0.45,0.090
Rv2882c,0.19,0.092
Rv2883c,0.28,0.018
Rv2886c,0.28,0.275
Rv2887,-0.07,0.776
Rv2888c,-0.04,0.671
Rv2889c,-0.09,0.239
Rv2890c,-0.41,0.018
Rv2893,0.38,0.051
Rv2895c,-0.06,0.697
Rv2901c,0.34,0.011
Rv2902c,-2.51,0.096
Rv2903c,-0.27,0.017
Rv2904c,-0.93,0.025
Rv2906c,0.06,0.528
Rv2907c,0.25,0.163
Rv2908c,-0.42,0.014
Rv2909c,-0.08,0.841
Rv2911,-0.77,0.000
Rv2914c,-0.86,0.052
Rv2915c,-0.75,0.280
Rv2916c,-0.09,0.694
Rv2918c,-0.69,0.087
Rv2919c,0.03,0.867
Rv2921c,0.06,0.323
Rv2922A,-0.38,0.009
Rv2922c,-0.24,0.002
Rv2923c,0.30,0.009
Rv2925c,0.58,0.001
Rv2926c,0.49,0.029
Rv2927c,0.90,0.001
Rv2928,0.11,0.516
Rv2930,-0.79,0.029
Rv2931,-0.68,0.029
Rv2932,-0.49,0.031
Rv2933,-0.38,0.090
Rv2934,-0.54,0.017
Rv2935,-0.57,0.059
Rv2936,-0.65,0.032
Rv2937,-1.11,0.017
Rv2939,-0.51,0.003
Rv2940c,-0.61,0.018
Rv2941,-0.10,0.095
Rv2942,0.05,0.537
Rv2945c,-0.37,0.031
Rv2946c,-1.37,0.000
Rv2947c,-1.11,0.001
Rv2948c,-0.89,0.002
Rv2949c,-1.04,0.000
Rv2950c,-1.25,0.000
Rv2951c,-0.10,0.588
Rv2952,-0.84,0.001
Rv2953,-0.47,0.031
Rv2954c,-1.10,0.001
Rv2955c,-0.10,0.120
Rv2956,-0.24,0.268
Rv2957,-0.29,0.163
