Gene,Value,padj
Rv0957,-0.07,0.552
Rv0958,-0.23,0.141
Rv0959,-0.65,0.002
Rv0959A,-0.41,0.136
Rv0960,-0.59,0.054
Rv0966c,-1.13,0.003
Rv0967,0.86,0.036
Rv0968,-0.20,0.169
Rv0969,-0.04,0.837
Rv0971c,0.74,0.001
Rv0972c,0.87,0.000
Rv0973c,0.34,0.020
Rv0974c,0.73,0.000
Rv0975c,0.44,0.059
Rv0979A,0.18,0.782
Rv0981,0.19,0.066
Rv0982,-0.01,0.963
Rv0983,-0.13,0.138
Rv0984,0.16,0.192
Rv0985c,-0.40,0.120
Rv0986,-0.01,0.964
Rv0987,-0.06,0.851
Rv0988,-0.38,0.188
Rv0989c,0.15,0.542
Rv0991c,-0.15,0.740
Rv0992c,0.00,0.997
Rv0993,-0.44,0.016
Rv0994,-0.49,0.012
Rv0998,0.16,0.275
Rv0999,-0.22,0.091
Rv1001,-0.17,0.025
Rv1003,-0.26,0.130
Rv1004c,-1.02,0.010
Rv1006,0.12,0.287
Rv1007c,-0.04,0.601
Rv1008,-0.22,0.017
Rv1010,-0.42,0.030
Rv1011,-0.09,0.532
Rv1013,-0.25,0.074
Rv1014c,-0.52,0.029
Rv1015c,-0.17,0.097
Rv1017c,-0.15,0.278
Rv1018c,-0.13,0.337
Rv1019,0.05,0.869
Rv1020,0.02,0.915
Rv1021,-0.06,0.587
Rv1022,-0.34,0.330
Rv1023,-0.08,0.210
Rv1025,0.05,0.837
Rv1026,-0.06,0.814
Rv1027c,0.25,0.294
Rv1031,0.09,0.855
Rv1033c,-0.46,0.057
Rv1035c,-0.57,0.304
Rv1045,0.15,0.480
Rv1050,-0.64,0.101
Rv1056,0.07,0.548
Rv1058,-0.07,0.781
Rv1059,0.01,0.942
Rv1060,-0.31,0.030
Rv1061,0.90,0.007
Rv1062,0.02,0.947
Rv1063c,0.34,0.053
Rv1066,0.30,0.346
Rv1069c,0.18,0.271
Rv1070c,0.08,0.395
Rv1071c,-0.06,0.586
Rv1072,0.36,0.116
Rv1074c,0.19,0.197
Rv1077,0.25,0.069
