,Gene,baseMean,Value,lfcSE,stat,pvalue,padj,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.NDC120MIN.A,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.NDC120MIN.B,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.NDC120MIN.C,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.PEN120MIN.A,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.PEN120MIN.B,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.PEN120MIN.C
101,SP_0517,14435.71413,1.554293122,0.148862904,-10.44110438,1.61E-25,3.53E-24,7633.591317,5965.778781,8172.184143,19696.78229,20120.65325,25025.29498
102,SP_1922,4339.269064,-1.110703708,0.107376145,10.34404531,4.45E-25,9.67E-24,5831.775176,5973.656396,6018.207092,2805.614986,2610.787324,2795.573409
103,SP_1691,48.4806681,3.623836116,0.351825103,-10.30010673,7.04E-25,1.51E-23,2.810945618,7.271645035,7.182583719,95.19692335,93.64918175,84.77272915
104,SP_0846,3750.692193,-1.11279088,0.109039446,10.20539743,1.88E-24,3.99E-23,5230.232814,4922.297718,5264.833866,2428.41963,2382.992017,2275.377117
105,SP_0177,153.5467524,2.029453786,0.199365215,-10.17957817,2.45E-24,5.16E-23,52.47098487,60.59704196,63.84518861,266.7310022,269.5577799,208.078517
106,SP_1123,660.5377358,1.337187339,0.132313472,-10.10620702,5.19E-24,1.08E-22,341.0614017,367.2180743,407.0130774,932.2113815,946.6160533,969.1064265
107,SP_2017,847.8228939,1.794487019,0.178508895,-10.0526476,8.94E-24,1.85E-22,490.0415194,309.6508844,319.2259431,1220.496404,1238.953364,1508.569248
108,SP_0516,1067.446669,1.63828284,0.163988311,-9.990241555,1.68E-23,3.45E-22,562.1891236,409.0300332,565.0299192,1510.577595,1438.907022,1918.946324
109,SP_0742,4430.881303,1.341546459,0.134708347,-9.958896284,2.31E-23,4.69E-22,2926.194389,2200.884564,2344.714552,6141.997724,6750.334263,6221.162328
110,SP_0268,1912.063143,1.646979593,0.167762764,-9.817313181,9.48E-23,1.91E-21,1155.298649,768.370492,814.0261548,2669.106191,2676.594857,3388.982513
111,SP_0058,6496.071523,-1.099204044,0.113212701,9.709193673,2.76E-22,5.50E-21,8985.65616,8409.051513,9223.23556,4115.919809,3845.944099,4396.621998
112,SP_2170,1312.481404,-1.138405105,0.117920904,9.653972028,4.73E-22,9.35E-21,1895.514329,1813.669466,1717.435574,825.3393638,813.7354576,809.1942328
113,SP_0776,5432.271725,-1.093830925,0.113461707,9.64052946,5.39E-22,1.06E-20,7195.083801,7429.197344,7614.336807,3469.299197,3706.735856,3178.977343
114,SP_0143,428.3857518,1.341903531,0.140173091,-9.573189302,1.04E-21,2.01E-20,240.8043413,254.5075762,225.8523547,602.6144865,645.4200364,601.1157158
115,SP_RS02475,509.9436426,-1.579663782,0.165431077,9.548772856,1.31E-21,2.53E-20,699.9254589,699.8958346,906.6016783,289.1831068,232.8574249,231.1983522
116,SP_0176,234.2888561,1.689376928,0.177189936,-9.534271341,1.51E-21,2.88E-20,99.32007851,110.8925868,118.1135989,397.8512929,380.9243744,298.631205
117,SP_RS11510,112.5037797,2.064452194,0.218326968,-9.455781898,3.21E-21,6.07E-20,39.35323866,49.08360399,36.71098345,173.3302472,201.2191878,175.3254171
118,SP_0862,44926.27254,-1.044361229,0.110923914,9.415113419,4.73E-21,8.87E-20,63404.62635,58556.13359,59878.80627,28929.98577,27375.93378,31412.14946
119,SP_0283,11400.09887,-1.400913774,0.149314169,9.38232305,6.45E-21,1.20E-19,18759.31407,15675.24281,15342.79689,5282.531162,5851.80833,7488.899959
120,SP_1979,3483.20333,-1.328071189,0.142051002,9.34925605,8.83E-21,1.63E-19,5630.324073,4176.348132,5181.835121,1810.537712,1917.277167,2182.897776
121,SP_0843,1247.170663,-1.278865244,0.136922319,9.340078744,9.63E-21,1.76E-19,1695.93719,1640.967896,1972.816328,693.3209889,666.9340376,813.0475387
122,SP_1675,347.3765387,1.462872018,0.157084568,-9.312639905,1.25E-20,2.26E-19,185.5224108,163.6120133,199.5162144,504.7233106,464.4493203,566.435963
123,SP_0178,287.679107,1.641353588,0.178501722,-9.19516948,3.74E-20,6.74E-19,151.7910634,141.7970782,120.5077935,469.6980275,493.5564984,348.7241813
124,SP_1249,3118.096839,-1.54010596,0.167636194,9.187192368,4.03E-20,7.20E-19,4476.899388,3666.727009,5843.430888,1544.704794,1778.068924,1398.750031
125,SP_0847,4750.855032,-1.09205725,0.119662482,9.12614572,7.10E-20,1.26E-18,6750.017411,6582.656668,6103.600032,2744.545262,3025.880994,3298.429825
126,SP_1539,23235.36796,-1.197678845,0.131585034,9.101938209,8.87E-20,1.56E-18,28337.14278,32429.11298,36560.94726,13613.16004,13041.28132,15430.56336
127,SP_1884,155.9278094,1.9192879,0.2117936,-9.062067514,1.28E-19,2.23E-18,51.534003,69.08062783,68.63357776,214.6421196,306.2581349,225.4183934
128,SP_1225,1507.283105,-1.086160457,0.12077671,8.99312834,2.40E-19,4.16E-18,1936.741531,1990.612828,2233.783537,975.3194222,955.4747597,951.76655
129,SP_0916,1213.211087,1.202993115,0.1338503,-8.987601175,2.53E-19,4.34E-18,751.4594619,809.5764806,628.8751079,1729.710136,1619.877738,1739.767601
130,SP_0958,456.3384748,1.290722915,0.14473119,-8.918070187,4.74E-19,8.08E-18,264.2288881,236.3284636,289.6975433,678.951642,658.0753312,610.7489805
131,SP_1631,7053.363138,-1.242201834,0.139509088,8.904092558,5.38E-19,9.10E-18,11108.85708,9041.684631,9676.536399,4009.945875,3647.25597,4835.898868
132,SP_1215,256.1146635,1.460282048,0.164156095,-8.895691901,5.81E-19,9.74E-18,119.9336797,144.2209599,139.6613501,357.4375047,411.297082,364.1374048
133,SP_1630,495.3034622,-1.39104467,0.156769369,8.873191758,7.11E-19,1.18E-17,704.6103683,685.3525446,774.1229119,320.6160532,236.6540133,250.4648816
134,SP_0775,3436.60472,-1.178751706,0.132965952,8.865064214,7.65E-19,1.26E-17,3999.975615,5112.57243,5226.526753,2124.867176,2113.434237,2042.252111
