,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.NDC20MIN.A,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.NDC20MIN.B,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.NDC20MIN.C,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.PEN20MIN.A,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.PEN20MIN.B,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.PEN20MIN.C
131,SP_0216,27706.40548,-0.265797717,0.10476028,2.53719937,0.01117433,0.161880667,33341.65955,33728.96165,24943.54425,24575.22268,24251.50577,25397.539
132,SP_0427,11640.90213,-0.245029636,0.096763631,2.532249297,0.011333338,0.161880667,12916.07064,13991.84839,11369.15534,11391.17985,10175.27034,10001.88821
133,SP_1983,1750.96035,-0.288372793,0.11379812,2.53407343,0.01127451,0.161880667,2055.342116,2266.20507,1563.231376,1454.3115,1502.778011,1663.89403
134,SP_2175,3048.65648,0.232655482,0.091653724,-2.53841821,0.011135483,0.161880667,2956.434178,2635.96522,2731.807292,3098.40648,3379.179948,3490.145761
135,SP_0761,3719.343589,0.225038813,0.089363547,-2.518239492,0.011794309,0.165052475,3441.444788,3533.954158,3221.004171,4269.085527,4050.966812,3799.606078
136,SP_0819,248.7375653,0.3055353,0.121315105,-2.518526444,0.011784703,0.165052475,230.5993594,206.1128011,211.0692153,278.7662101,300.0034486,265.8743571
137,SP_0868,2401.279543,-0.246159103,0.097773402,2.517648939,0.011814101,0.165052475,2676.957781,2890.757929,2333.853876,2271.145158,2110.146956,2124.815559
138,SP_0765,3645.852592,0.226030984,0.090144889,-2.507418746,0.012161654,0.168676853,3215.858458,3386.878692,3385.901996,4299.673341,3826.424353,3760.378714
139,SP_RS00120,173.5784018,-0.323669053,0.129448286,2.500373422,0.012406246,0.16921319,195.5081525,208.1842865,193.480114,143.9017593,138.0383966,162.3577017
140,SP_0418,18467.55971,-0.261213329,0.10450793,2.499459399,0.012438295,0.16921319,17633.33145,21664.63046,21927.01338,18539.69092,14711.21205,16329.47998
141,SP_RS08485,2831.887744,0.240585746,0.096284991,-2.49868379,0.012465548,0.16921319,2574.190675,2345.957259,2774.680726,2850.923261,3183.165425,3262.409119
142,SP_RS07865,288.9741149,0.316784147,0.127406664,-2.486401697,0.012904222,0.173934366,211.8004986,226.8276555,304.5113159,346.1984355,340.4947116,304.0120722
143,SP_1148,354.0990499,0.292360999,0.117710541,-2.483728274,0.013001497,0.174020042,304.5415453,301.4011313,325.3983736,440.7425866,404.91263,347.5980324
144,SP_0460,331.7039681,0.300060572,0.12098179,-2.480212698,0.013130403,0.174524942,269.4503384,267.2216215,329.7956489,416.4113712,354.2985512,353.0462774
145,SP_0368,981.2768481,-0.249569869,0.101713363,2.453658613,0.014141116,0.181651651,1115.399075,1096.85154,1022.366512,800.1493961,885.2862501,967.6083159
146,SP_RS02810,118.1774125,0.357281221,0.145146746,-2.461517258,0.013835074,0.181651651,77.70195806,88.03813113,119.8257524,165.4522644,149.0814683,108.9649004
147,SP_1035,993.7061561,-0.330426951,0.134629713,2.454338971,0.014114386,0.181651651,893.5725177,920.7752773,1636.885738,818.9191908,865.0406186,827.0435944
148,SP_RS05960,50.6385184,0.367942021,0.149768641,-2.45673606,0.014020565,0.181651651,35.09120687,46.60842236,32.97956489,63.95633749,59.81663852,65.37894027
149,SP_1894,2172.768681,0.259971799,0.105802918,-2.457132604,0.014005098,0.181651651,2109.232184,2045.59187,1679.759172,2442.158843,2620.889023,2138.980996
150,SP_1286,2618.65902,-0.220942882,0.090272448,2.447511794,0.014384642,0.183548028,2902.544111,2941.509322,2677.940669,2280.182467,2380.702213,2529.075339
151,SP_1105,8862.524779,-0.222607995,0.091181428,2.441374299,0.014631481,0.185461289,9389.404351,10559.39702,8918.773666,7848.554894,7980.459835,8478.558904
152,SP_0976,1577.810593,-0.254723071,0.104875003,2.428825396,0.015147825,0.190087014,1894.925171,1852.943725,1470.888594,1338.912022,1451.243676,1457.950368
153,SP_1663,2057.772306,-0.24353399,0.100314832,2.427696729,0.015195043,0.190087014,2080.407264,2214.417934,2472.368048,1767.836589,1752.167381,2059.436618
