,Gene,baseMean,Value,lfcSE,stat,pvalue,padj,X.ExpOut.180927_NS500751_0087_AH2CN3BGX9.Out.Rep.Bams.19F.90MINPEN3.A,X.ExpOut.180927_NS500751_0087_AH2CN3BGX9.Out.Rep.Bams.19F.90MINPEN3.B,X.ExpOut.180927_NS500751_0087_AH2CN3BGX9.Out.Rep.Bams.19F.90MINPEN3.C,X.ExpOut.180927_NS500751_0087_AH2CN3BGX9.Out.Rep.Bams.19F.90MINNDC.A,X.ExpOut.180927_NS500751_0087_AH2CN3BGX9.Out.Rep.Bams.19F.90MINNDC.B,X.ExpOut.180927_NS500751_0087_AH2CN3BGX9.Out.Rep.Bams.19F.90MINNDC.C
62,SPT_0480,17513.26392,0.455004871,0.054526932,-8.344589612,7.15E-17,2.24E-15,20693.46322,20214.30643,19957.62223,14636.48177,14864.37496,14713.33491
63,SPT_1157,1063.485582,-0.768150012,0.092831971,8.274627886,1.29E-16,3.97E-15,711.8593067,799.2298039,819.466339,1232.220402,1286.638094,1531.499545
64,SPT_0631,17929.65812,0.558227372,0.067547943,-8.264165435,1.41E-16,4.27E-15,21093.28651,20984.82604,22207.64575,14078.891,13511.72088,15701.57857
65,SPT_2138,6515.445888,0.492215054,0.059630636,-8.254398834,1.53E-16,4.56E-15,7396.731013,7833.228029,7673.18481,5307.60168,5329.780418,5552.149379
66,SPT_0552,5117.625041,-0.718000111,0.087109266,8.242522785,1.69E-16,4.96E-15,3822.658401,3512.731381,4150.235319,6237.287682,5684.111118,7298.726342
67,SPT_0260,9685.788414,-0.597213566,0.072871387,8.19544672,2.50E-16,7.24E-15,8284.164898,7631.4807,7068.571965,12417.16008,10927.66657,11785.68627
68,SPT_0281,19799.38651,-0.452369982,0.055544793,8.144237372,3.82E-16,1.09E-14,16216.31146,17036.01004,16781.24546,23296.25293,22607.10703,22859.39212
69,SPT_0257,30378.40722,-0.487146147,0.059970877,8.123045195,4.55E-16,1.26E-14,24317.94833,25681.65905,25647.46098,33750.25183,36128.25877,36744.86438
70,SPT_0958,4733.372646,0.530621316,0.065322691,-8.12307807,4.55E-16,1.26E-14,5828.72834,5520.117306,5484.702242,4078.693698,3671.297179,3816.69711
71,SPT_1080,1682.105265,0.693755767,0.085875815,-8.078593131,6.55E-16,1.79E-14,2200.766501,2063.254416,2017.895372,1283.010849,1107.451846,1420.252605
72,SPT_1212,3649.766032,0.50774292,0.063396675,-8.008983372,1.16E-15,3.12E-14,4244.211226,4354.638504,4288.432541,2963.512151,3152.600146,2895.201622
