,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.NDC60MIN.A,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.NDC60MIN.B,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.NDC60MIN.C,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.RIF60MIN.A,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.RIF60MIN.B,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.RIF60MIN.C
114,SPT_1872,2847.168378,-1.387321585,0.097183198,14.2753235,3.12E-46,5.89E-45,4228.111632,4012.406107,4110.918134,1575.143301,1523.466845,1632.964253
115,SPT_0278,766.7358804,-1.944923995,0.136364775,14.26265687,3.74E-46,7.00E-45,1226.119272,1142.275771,1292.592063,353.3429567,311.9805048,274.1047138
116,SPT_1216,434.7882778,-2.15556629,0.15272116,14.11439185,3.10E-45,5.75E-44,717.1901254,698.9399157,716.2036609,149.000042,158.2674824,169.1284404
117,SPT_1897,4687.433335,1.968239725,0.139551514,-14.10403707,3.59E-45,6.60E-44,1997.098657,1808.0016,1900.438899,6934.887669,9121.444613,6362.72857
118,SPT_1059,827.0959081,-2.324998946,0.165617763,14.03834291,9.08E-45,1.66E-43,1441.27631,1296.071435,1366.69415,310.7715162,209.5051565,338.2568809
119,SPT_0633,174.1896209,2.342038598,0.169501254,-13.81723465,2.01E-43,3.63E-42,58.2027371,50.90419841,58.72240851,268.2000756,276.6834404,332.4248657
120,SPT_1153,2217.243458,-1.757018563,0.127495989,13.78097127,3.32E-43,5.95E-42,3259.62912,3254.619494,3729.921555,974.8859891,906.3375249,1178.067068
121,SPT_1330,828.5097623,-1.779389512,0.129123964,13.78047464,3.34E-43,5.95E-42,1266.668098,1260.330189,1298.88375,391.6572533,333.6141894,419.9050935
122,SPT_0469,661.9402166,-2.071448856,0.151432918,13.67898659,1.36E-42,2.39E-41,1002.135279,1001.476925,1198.216764,242.6572113,241.386376,285.7687442
123,SPT_0388,532.6511706,1.936116153,0.141934537,-13.64090938,2.29E-42,4.00E-41,220.3980424,198.9234987,229.2970237,838.6573793,723.0205129,985.6105667
124,SPT_1058,427.0375809,-2.588383725,0.189907353,13.62971833,2.67E-42,4.63E-41,739.5333562,714.1028685,720.0485805,170.2857623,89.9505835,128.3043341
125,SPT_2159,202.216809,2.264460299,0.166454347,-13.60409228,3.79E-42,6.52E-41,70.89148547,62.81794697,73.40301064,395.9143973,324.5052696,285.7687442
126,SPT_1152,2052.215902,-1.725783727,0.127002416,13.58858977,4.68E-42,8.00E-41,3275.627977,3140.175303,3010.222512,1030.228862,807.2780215,1049.762734
127,SPT_1895,3772.591958,1.706992943,0.125669524,-13.58318935,5.04E-42,8.55E-41,1543.889666,1833.273188,1904.633357,6449.573247,5182.975393,5721.206899
128,SPT_1606,1428.684617,-1.45552172,0.107638935,13.52226046,1.16E-41,1.94E-40,2088.954161,2143.752696,2048.293535,727.9716338,758.3175773,804.8180959
129,SPT_1224,1001.894876,-1.759438044,0.132433991,13.28539617,2.81E-40,4.70E-39,1633.814274,1405.461308,1615.914848,404.4286854,479.356907,472.3932302
130,SPT_1479,1006.402409,-2.767786447,0.20848755,13.27554784,3.21E-40,5.32E-39,2139.433313,1252.748713,1881.563839,195.8286266,253.9111408,314.9288201
131,SPT_0087,117.4114265,3.406646578,0.256646483,-13.27369282,3.29E-40,5.41E-39,22.34323083,19.13420224,18.87505988,285.2286518,253.9111408,104.9762734
132,SPT_1061,932.3916998,-1.915456307,0.145174793,13.19413839,9.48E-40,1.55E-38,1349.144963,1635.432757,1463.516217,434.2286938,408.7627782,303.2647898
133,SPT_1244,923.9300379,-1.797279717,0.136359261,13.18047417,1.14E-39,1.84E-38,1363.488765,1396.796763,1521.190011,455.5144141,357.525104,449.0651694
134,SPT_0406,1963.203334,1.290040674,0.098220765,-13.13409308,2.10E-39,3.38E-38,1129.85029,1120.253388,1152.776805,2724.572197,2654.111521,2997.655806
135,SPT_1151,1739.185389,-1.552053156,0.118508783,13.09652429,3.45E-39,5.50E-38,2645.879878,2566.149236,2566.658605,1025.971718,819.8027863,810.6501111
136,SPT_0789,442.3679313,1.764550494,0.135761751,-12.99740528,1.27E-38,1.99E-37,184.2626938,202.8947483,213.9173453,596.000168,704.8026732,752.3299592
137,SPT_1135,548.6632509,2.366751729,0.182093251,-12.99747086,1.26E-38,1.99E-37,189.7795409,166.0704345,169.1764626,1243.086065,742.3769676,781.4900351
138,SPT_0092,148.445439,2.896444943,0.223903042,-12.93615716,2.81E-38,4.39E-37,36.41119098,26.35465591,41.24550121,340.5715246,265.2972906,180.7924708
139,SPT_0895,271.5909975,-2.45669337,0.191989507,12.7959773,1.73E-37,2.68E-36,474.4488522,454.1665362,437.9712968,97.91431331,71.7327438,93.312243
140,SPT_RS08125,476.0018375,1.60195314,0.125724536,-12.74177015,3.46E-37,5.33E-36,251.844071,216.9746329,235.2391722,732.2287778,708.2185182,711.5058529
141,SPT_0559,397.5557764,1.647992153,0.129359577,-12.73962235,3.56E-37,5.44E-36,179.5733737,189.1758863,204.4798153,596.000168,592.0797901,624.0256251
142,SPT_0694,377.6457113,-2.781469873,0.218715155,12.71731661,4.74E-37,7.19E-36,532.6515893,695.3296889,753.2547044,136.2286098,84.25750859,64.15216706
143,SPT_1334,432.5736453,-2.104167855,0.165543817,12.71063998,5.16E-37,7.77E-36,672.7795061,684.1379857,773.1783787,136.2286098,183.3170119,145.8003797
