"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","X.ExpOut.180216_NS500751_0072_AH7WMYBGX5.Out.Rep.Bams.wT4.NV45min.a","X.ExpOut.180216_NS500751_0072_AH7WMYBGX5.Out.Rep.Bams.wT4.NV45min.b","X.ExpOut.180216_NS500751_0072_AH7WMYBGX5.Out.Rep.Bams.wT4.NV45min.c","X.ExpOut.180216_NS500751_0072_AH7WMYBGX5.Out.Rep.Bams.wT4.NV45min.d","X.ExpOut.180216_NS500751_0072_AH7WMYBGX5.Out.Rep.Bams.wT4.024V45min.a","X.ExpOut.180216_NS500751_0072_AH7WMYBGX5.Out.Rep.Bams.wT4.024V45min.b","X.ExpOut.180216_NS500751_0072_AH7WMYBGX5.Out.Rep.Bams.wT4.024V45min.c","X.ExpOut.180216_NS500751_0072_AH7WMYBGX5.Out.Rep.Bams.wT4.024V45min.d"
"36","SP_0212",23459.8211663223,-1.73166774602001,0.0552386912529284,-31.3488192196843,1.00962484998315e-215,6.21199734086854e-214,35604.1887658906,35736.1402706705,36942.1688133072,36028.3911149472,10633.0166826634,11796.4084415549,10251.8672147916,10686.3880267526
"37","SP_1119",2291.10288669118,3.31433596497421,0.106055802314154,31.2508688129728,2.1726535452038e-214,1.30065610881795e-212,407.256869587693,395.317862097578,431.565734239423,420.144498786034,3225.49669243974,4900.97173145314,4157.48569308938,4390.58401183647
"38","SP_0222",3498.02301108522,-1.68553861792531,0.0549868609299381,-30.6534795661994,2.37506650532012e-206,1.38441376560107e-204,5578.44688209773,5156.96609578419,5150.39632835733,5471.88192466573,1658.94909459964,1675.56925341928,1663.28229148536,1628.6922182725
"39","SP_1960",17910.5543750191,-1.37779722690024,0.0450177867319386,-30.6056189546683,1.03040152365346e-205,5.85215224331389e-204,25568.6017142469,26015.6802580406,25749.8522055979,26161.9978017885,9741.51335281667,9984.16959160876,9720.4809242651,10342.1391517886
"40","SP_0799",4147.97515964643,1.86791187932263,0.0620315196569323,30.1123024174353,3.34420866306564e-199,1.8518555471726e-197,1755.41754132626,1699.17326691064,1771.6909089829,1897.65265285025,6577.61765821663,6881.76975044908,6571.0451048032,6029.4343936325
"41","SP_1972",2916.30420118371,1.93245992730923,0.0644856068647714,29.9673062139535,2.61832200999226e-197,1.41453250052021e-195,1196.92469894738,1302.86463322886,1229.39449293204,1103.3794813357,4694.50937703364,4788.90266230112,4628.38899119823,4386.06927249268
"42","SP_0355",1695.25263147951,-1.88730086460317,0.064407685822471,-29.3024169476481,9.66141832424377e-189,5.09524799719046e-187,2761.13676038765,2795.95741062497,2559.582298795,2565.88247472899,730.656279931972,717.970947087763,734.436336500029,696.398543779718
"43","SP_0359",4188.95405198276,-2.00637867143331,0.0692765171759527,-28.9618871332315,1.98822684876166e-184,1.02416801628071e-182,6767.80978240555,6649.0681015961,6658.74696200663,6785.33365539445,1842.04094928985,1649.14646475742,1447.27160427947,1712.21489613263
"44","SP_0210",12565.1646500134,-1.71294503527392,0.0591502008529104,-28.9592429201301,2.1466579775362e-184,1.08064714096424e-182,19585.0584764585,18565.0779448231,19093.9444918429,19824.8182784324,5852.0947947713,6033.50712133904,5329.70368899335,6237.11240344687
"45","SP_RS01740",2712.13331331576,-1.89530776627132,0.0657804734891409,-28.8126196991301,1.49056339071683e-182,7.33688424541728e-181,4291.86085642414,4256.35472574234,3999.0811623436,4570.57194036522,1181.54136134198,1176.26966077449,1049.81193982063,1171.57485971369
"46","SP_0845",6448.934603153,-1.71101336983375,0.0595227586460266,-28.7455321082967,1.03005630760141e-181,4.95994504638503e-180,9549.47142481486,9808.63868362411,10131.8573857459,10058.4593697466,3130.52848743687,3124.26697660398,2715.97437380207,3072.28012344958
"47","SP_2214",8680.07157952669,-1.58893522922493,0.0552932111749447,-28.7365337527174,1.33448818030163e-181,6.28913046674066e-180,13424.3530991147,13056.3879366463,13465.8446451581,12191.1928731081,4182.02329778393,4449.050932271,4202.1279017786,4469.59195035281
"48","SP_0219",6054.66638964292,-1.63787471401407,0.0580759444557306,-28.2022914885623,5.48118180298413e-175,2.52933701950205e-173,9323.69772257659,9118.07088943361,9410.68832984584,8831.03722686455,3062.93850369609,3010.37564616493,2677.09245010501,3003.43034845677
"49","SP_2215",11992.022389641,-1.68314769503669,0.0596988431573745,-28.1939750591093,6.93182213113985e-175,3.13346653479077e-173,17066.9795294853,18714.684454038,18527.5144656537,18887.4959085217,5784.50481103052,5816.65802818309,5211.61784665413,5926.72407356126
"50","SP_0962",1620.24608217077,-1.7956833072037,0.0637016285546864,-28.1889701714948,7.98364402963574e-175,3.53675430512863e-173,2561.28922491358,2535.3844839792,2419.03951034203,2557.87972237117,730.656279931972,722.526600305325,671.073201586301,764.119633936578
"51","SP_0215",16780.3687280973,-1.72551014256915,0.0613516589580182,-28.1249141730607,4.85835626683657e-174,2.11005081000843e-172,25967.2165282466,26026.5787454668,25267.8898148931,25855.8925241015,6920.70099340717,7882.19119702568,8067.27913151601,8255.20089012132
"52","SP_0922",1438.54651212748,-2.16459310915502,0.0769701072247839,-28.1225164833606,5.19770482025165e-174,2.21402234170335e-172,2445.70173142317,2425.40883813251,2377.87041069419,2168.74588897172,502.219246276426,515.699944228012,482.423868093157,590.302169200636
"53","SP_0913",941.099162460361,2.73220413251585,0.0973421434689571,28.0680498204476,2.4056547974193e-173,1.00538214646863e-171,217.131646650202,244.720581298501,235.657604880738,281.096676568751,1880.54157293967,1599.94541000776,1569.67766036281,1500.02214697446
"54","SP_0783",2662.0319077992,2.16005331151459,0.0772913813638959,27.9468845477717,7.19282973969364e-172,2.95039219878174e-170,945.22482994491,1023.4670464832,921.336057636137,992.341292370824,4301.80301580557,4828.08127997215,4465.66094016979,3818.340800011
"55","SP_1004",1618.94430846597,-1.91738594503912,0.0691582631657588,-27.7246110192722,3.52698713706785e-169,1.42041391065551e-167,2756.81573259361,2510.61519437409,2534.73887659372,2444.84084531683,633.121366685784,715.237555157225,671.073201586301,685.111695420241
