"","Gene","baseMean","Value","lfcSE","stat","pvalue","padj","X.ExpOut.181028_NS500751_0095_AH5NC2BGX9.Out.Rep.Bams.W19F.KAN10min.a","X.ExpOut.181028_NS500751_0095_AH5NC2BGX9.Out.Rep.Bams.W19F.KAN10min.b","X.ExpOut.181028_NS500751_0095_AH5NC2BGX9.Out.Rep.Bams.W19F.KAN10min.c","X.ExpOut.181028_NS500751_0095_AH5NC2BGX9.Out.Rep.Bams.W19F.NDC10min.a","X.ExpOut.181028_NS500751_0095_AH5NC2BGX9.Out.Rep.Bams.W19F.NDC10min.b","X.ExpOut.181028_NS500751_0095_AH5NC2BGX9.Out.Rep.Bams.W19F.NDC10min.c"
"1847","SPT_1875",813.350212503904,0.0983405923580704,0.0748338978539046,1.31411826963841,0.188806406891051,NA,857.773464295814,847.141528243301,839.765066965464,772.223558363079,763.816032169885,799.381624985882
"1848","SPT_1876",34.0095660602734,0.0525542904769685,0.076475769759761,0.687201850233888,0.491955538580228,NA,30.8854602528771,28.4156487461065,52.5617145262227,33.7475591058415,23.3424254313377,35.1045882992546
"1849","SPT_1878",151.342565340602,0.061248924949054,0.0921609883380317,0.664586242547691,0.506315170980231,NA,146.003993922692,151.846122987007,174.798259936043,150.871440708468,149.132162477991,135.40341201141
"1850","SPT_1879",289.054658675526,0.120547888334993,0.0884339610738365,1.36314021074261,0.172838326061571,NA,292.709930123858,319.676048393699,311.703190795041,303.728031952574,256.766679744715,249.744071043268
"1851","SPT_1880",382.37958553852,-0.0372535872479031,0.0839934662766693,-0.443529585089299,0.657382724878066,NA,372.731349869949,396.04310439886,356.930712596675,401.992983466641,386.446821029925,380.132541869071
"1852","SPT_RS09355",1055.91400950668,-0.00731771135563338,0.0840906205756483,-0.0870217309081496,0.930654238863308,NA,1138.55037568561,1038.94715727952,979.114728732659,1209.9492514712,907.760988996467,1061.16155487461
"1853","SPT_RS09360",348.241853609112,-0.0323651758089313,0.0855881659317632,-0.378150126908141,0.705319072267884,NA,329.912870883005,340.987784953279,358.153078050773,380.156327574626,346.24597723151,333.995082961479
"1854","SPT_1884",17.6946089019076,-0.052615023272818,0.0659425084423444,-0.797892353743578,0.424932960961749,NA,19.6543837972854,13.3198353497374,13.4460199950802,22.829231159834,16.8584183670772,20.0597647424312
"1855","SPT_1885",501.969594747358,0.0827945904388655,0.0840677380084503,0.98485569375666,0.324694959231758,NA,549.620804045517,500.825809150128,515.838221629441,533.012918818732,477.222919929571,435.296894910757
"1856","SPT_1887",397.791376572302,-0.00545455171794759,0.0890568164335425,-0.061247998035254,0.951161704551602,NA,336.230351389276,427.122720214914,429.050274388469,370.230574896438,374.775608314256,449.338730230458
"1857","SPT_1888",30.3022893763117,0.0496988248341632,0.0767266219574803,0.647738992884437,0.517153779703319,NA,37.2029407591474,26.6396706994749,34.2262327147496,34.7401343736604,25.9360282570419,23.0687294537959
"1858","SPT_1889",93.2894414355798,-0.179134264501364,0.0917280944528042,-1.95288330767115,0.0508334240678837,NA,78.6175351891417,90.5748803782146,70.8971963376957,117.123881602626,88.1824960739425,114.340659031858
"1859","SPT_1890",40.3946568448311,0.0468364979385532,0.0821032359087195,0.570458611285735,0.568366686281272,NA,46.3281903793156,48.8393962823706,33.0038672606514,44.665887051849,32.4200353213024,37.1105647734977
"1860","SPT_1891",142.576333262505,-0.0668170430843744,0.0922980456572002,-0.723926954342418,0.46911058095506,NA,144.600109365743,120.766507170953,144.239123583588,150.871440708468,146.538559652287,148.442259093991
