"","Gene","baseMean","Value","lfcSE","stat","pvalue","padj","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.W19F.KAN240min.a","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.W19F.KAN240min.b","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.W19F.KAN240min.c","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.W19F.NDC240min.a","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.W19F.NDC240min.b","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.W19F.NDC240min.c"
"1738","SPT_1375",428.523995015687,-0.140062826290694,0.282355492884543,-0.496051360148201,0.619858175041193,0.76805397667347,442.47195404242,373.831598353025,404.316290524136,515.667597970196,302.751046610543,532.1054825938
"1739","SPT_RS01850",10.2648027753422,0.297250628933645,0.602071204160979,0.493713412764659,0.621508591318,0.769469808572544,6.15766138826429,18.8288737890296,13.1595650114478,0,12.3571855759405,11.0855308873708
"1740","SPT_0643",1327.24797165464,-0.142501986970153,0.289081345443697,-0.492947709065881,0.622049535656048,0.769696925441075,1141.80635456672,1298.01548683123,1327.7547318447,1332.5667630715,1940.07813542266,923.266358191028
"1741","SPT_0686",1023.12975891257,0.126702774530386,0.258698265197231,0.489770483902502,0.624296319235364,0.770263596168332,907.815221812678,1259.96547104923,1048.22741987739,724.998009027405,1204.8255936542,992.946838054502
"1742","SPT_1565",17761.3815300032,-0.133153050804175,0.271679968123887,-0.490109932372551,0.624056110063422,0.770263596168332,16168.6993067131,22141.578771287,12373.6213355916,18313.8581576148,22734.1321633366,14836.3994454762
"1743","SPT_1584",584.125462841742,-0.118219812554437,0.241317570032385,-0.489893100359713,0.624209545646111,0.770263596168332,467.102599595477,629.590467320677,577.20574808833,602.46313426221,710.538170616581,517.85265716718
"1744","SPT_RS08360",663.614775690951,0.143243841206253,0.291740286349469,0.490997808354327,0.623427997654452,0.770263596168332,608.728811525555,904.178210077359,591.272869307463,459.505780369482,633.305760766952,784.697222098893
"1745","SPT_2012",843.12111225126,-0.142807971650942,0.291000719236606,-0.490747830539994,0.623604812436257,0.770263596168332,1005.01830515599,747.270928502113,635.74312348408,1118.13073223241,917.521029013584,635.042555119386
"1746","SPT_0612",668.935759069561,-0.161799108902406,0.331771766005854,-0.487681971405462,0.625775123652278,0.77120425942951,592.015159185981,622.529639649791,678.398265245324,541.195696879612,478.840941067696,1100.63485238896
"1747","SPT_0827",2421.64820474989,0.159449561816224,0.326638748704778,0.488152622579196,0.625441739909298,0.77120425942951,2486.37570198986,2705.08153435725,2521.19114495185,1470.41849718234,1739.27386981363,3607.54848020439
"1748","SPT_1021",1104.4490448014,-0.089550595947464,0.184062711794142,-0.486522202539417,0.626596967486147,0.771775326657708,1038.00577687884,1184.64997589311,986.059819650896,1169.18693005124,1065.80725592487,1182.98451040943
"1749","SPT_2244",179.842428547093,-0.194914312028872,0.402061776290197,-0.484786974348412,0.627827463422973,0.7728487871639,191.327335992498,157.299549779185,156.099667722001,112.323635201429,142.107634123316,319.89674846413
"1750","SPT_0270",11393.0757074382,-0.0843097730326868,0.175029427249123,-0.481689132837572,0.630026797043665,0.775112968020007,11166.9189276173,10677.5405111955,11302.2512324183,13233.7664746411,11881.4339312668,10096.5431674904
"1751","SPT_0635",309.487394856894,0.157715967469842,0.328208232052762,0.48053629393576,0.630846102250967,0.775677703110413,416.961642576753,294.985689361464,269.544193682758,255.280989094157,401.608531218067,218.543323208168
"1752","SPT_0458",11738.0720316189,-0.0649751895629547,0.135481774475749,-0.479586201275988,0.631521660060518,0.776065145040123,11245.6490267958,11576.2269664178,11588.1314378394,11906.3053313515,12344.8283903646,11767.2910369441
"1753","SPT_1001",1503.14612737681,0.098310652011643,0.20529220375031,0.478881565961535,0.63202288574031,0.776238033655954,1502.46937873649,1556.12796502251,1597.29892552745,1684.85452802143,1498.30875108279,1179.81721587018
"1754","SPT_RS00770",8.79129054710397,0.283459145996526,0.593191169742145,0.477854628415563,0.632753676361823,0.776464976405686,9.23649208239643,13.337118933896,8.16800586917447,20.4224791275325,0,1.5836472696244
"1755","SPT_0251",1742.85558031004,0.142189116723403,0.297710670698263,0.477608398751399,0.632928951970264,0.776464976405686,2284.05254208975,1663.60945290155,1565.53445825844,1378.51734110845,1229.53996480608,2335.879722696
"1756","SPT_1059",4955.67358616706,0.153381872472812,0.32170090988459,0.476784080367811,0.633515883015473,0.776742423765554,6426.3993245664,3954.06349569622,5333.25405446709,7040.64967921684,3271.56488123026,3708.11008182554
"1757","SPT_0660",80.6227717404594,0.262629810249654,0.554504490791205,0.473629726379522,0.63576397363601,0.779055113966038,158.339864269653,56.0943531631507,63.0751564341807,35.7393384731819,21.6250747578959,148.862843344694
"1758","SPT_1523",2986.89857543709,-0.108036392359686,0.228476937851028,-0.47285469323879,0.636316850509068,0.779289066635963,2669.34621181257,2973.39298585093,2981.77592035253,2389.43005792131,3027.51046610543,3879.93581057979
"1759","SPT_RS00155",2307.6254055253,0.173100431755543,0.366771992936803,0.471956515462099,0.636957827212417,0.779630586690354,1804.19478676144,2694.09802464699,2882.3985156109,2062.67039188079,3330.26151271597,1072.12920153572
"1760","SPT_0357",7.95446860951844,0.263967647196124,0.563095248667752,0.468779745204128,0.639227079229742,0.781963580444111,14.9543205143561,1.96134101969058,14.9746774268199,0,0,15.836472696244
"1761","SPT_RS04080",58.9892424804062,-0.262349570763373,0.562249495618144,-0.46660703621431,0.640781051971669,0.783419423563319,51.4604558876373,50.210330104079,49.0080352150468,148.062973674611,9.2678891819554,45.9257708191077
"1762","SPT_0368",41.5111866613434,0.271862005687953,0.590505826036132,0.460388354697314,0.645237491944232,0.788152901405614,50.5807899750281,45.1108434528834,44.9240322804596,91.9011560738964,3.08929639398513,13.4610017918074
"1763","SPT_0702",528.493765314195,-0.10240809783801,0.222537748091474,-0.460183041826749,0.645384842163538,0.788152901405614,515.924057745287,446.008947877639,563.592404973039,607.568754044093,478.840941067696,559.027486177415
"1764","SPT_0216",473.08041015694,-0.169773104320722,0.369446154530438,-0.459534095128156,0.645850673796803,0.788274660251994,417.401475533058,537.40743939522,366.198929801322,541.195696879612,722.895356192521,253.383563139905
"1765","SPT_0978",314.235837349071,-0.208335462457689,0.454544175806916,-0.458339306818414,0.646708688687675,0.788874678042247,357.144360519329,218.101121389593,283.157536798048,561.618176007145,101.946781001509,363.447048378801
"1766","SPT_1782",1019.02161028678,-0.115265340443736,0.252145428287664,-0.457138331741768,0.647571620138101,0.789480010281614,718.687050601704,1151.30717855837,1063.20209730421,913.905940957081,1127.59318380457,1139.43421049476
"1767","SPT_2171",83.6748575004247,0.237451638279923,0.52256375711271,0.454397449206772,0.649542787971555,0.791434987268114,109.958239076148,89.8294187018288,78.9573900686866,107.218015419546,12.3571855759405,103.728896160399
