"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.W19F.KAN90min.a","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.W19F.KAN90min.b","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.W19F.KAN90min.c","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.W19F.NDC90min.a","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.W19F.NDC90min.b","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.W19F.NDC90min.c"
"51","SPT_0433",340.665744489384,0.480030185448929,0.156030494660265,3.07651518053653,0.00209435638081015,0.0766453883208023,484.668098847979,443.205750008074,331.701147614519,237.324510597434,228.246369162632,318.848590705667
"52","SPT_0609",1182.79997106503,-0.407641424920654,0.132341432257656,-3.08022527765165,0.00206844077814093,0.0766453883208023,994.040154190637,1093.49338890881,851.86885637365,1542.60931888332,1454.60794185267,1160.18016618112
"53","SPT_0251",4929.91947384475,0.377280192489195,0.12413033234157,3.0393875966676,0.00237059646041181,0.0813724197761099,6452.4381606339,5212.40266676162,5400.69777616002,3651.63313639251,3960.38294601107,4901.96215710939
"54","SPT_0252",1497.75618028943,0.35500216484971,0.116739603021153,3.04097457642873,0.00235813741422572,0.0813724197761099,1715.16040805911,1573.73817595459,1840.187503016,1215.10149425886,1258.43944078857,1383.91005965947
"55","SPT_1080",2518.40501635969,0.344733848148395,0.113238372396839,3.04432005557524,0.00233206894890983,0.0813724197761099,2749.19744419351,2826.75196301446,3005.66471713429,1923.91069924319,2273.82734252287,2331.07793204983
"56","SPT_1565",23611.7455947867,0.38100302568437,0.125670157870099,3.03177008879228,0.00243124306184155,0.0813724197761099,24274.5782032234,27402.5739356844,30210.4358852369,16823.1434745501,24001.6479226478,18958.0941473777
"57","SPT_2257",429.305331947275,0.48786535548032,0.160957702886372,3.03101589257104,0.00243732418667276,0.0813724197761099,429.378291455127,519.809212972432,658.125231516988,216.756386345656,403.440879546923,348.321989846527
"58","SPT_1698",353.645385824671,-0.420261180393337,0.139909199014159,-3.00381378318667,0.00266618457410922,0.0874784352505144,291.741962413347,287.894333338578,287.976905428968,384.465707167842,433.051219330183,436.742187269107
"59","SPT_1222",8238.06986723129,0.332973724961375,0.112335539160337,2.96409958460359,0.00303570029430928,0.0979141976283146,8355.81918960484,9641.51387980527,9948.77282970182,6379.28284485901,7466.74068201216,7636.28977740463
"60","SPT_1283",1816.01574424042,-0.324517905659572,0.109903823111218,-2.95274446759849,0.00314962566737727,0.0982579941806385,1638.69578081368,1636.03110188166,1483.60876933039,2004.60103284632,1994.99664289717,2138.1611376733
"61","SPT_2118",3446.05956959806,-0.417453465402537,0.141224090797158,-2.95596497060924,0.00311692488757369,0.0982579941806385,2433.92790416619,2590.62810189904,3421.79888414159,4998.05419318195,4084.9931259323,3146.95520826728
"62","SPT_1181",14455.8619076016,0.387506210875187,0.132031325193653,2.93495661205266,0.00333594330441471,0.101787809382947,14274.1813384014,18138.6056947749,18009.8645829792,9538.86316261284,12282.1221892649,14491.5344775765
"63","SPT_1865",6759.9220016153,0.413093475208932,0.140899697455449,2.93182655938313,0.00336974881299299,0.101787809382947,7847.62351314288,8956.2916946076,7139.86720240251,4199.06167417059,5144.79653734149,7271.89138802672
"64","SPT_1864",8463.82684599743,0.390561900756462,0.136824295883327,2.85447769517121,0.00431076586209508,0.128177928680733,9241.63248677117,11562.4930279884,8840.5894501715,5626.17306456316,6619.14470571633,8892.92834077402
"65","SPT_0242",965.4877435514,0.397073949552554,0.14024212219385,2.83134584204093,0.00463525716787363,0.135706067545593,945.808620081978,1282.89755557893,1168.4926790966,645.522668825019,820.453164827839,929.751772898037
"66","SPT_0666",3251.3518863813,0.417888061443467,0.148764046393958,2.80906624667101,0.0049685421489361,0.139964115212412,3249.15846849058,3924.45433340482,4448.56470925744,1768.85868565287,2777.2031188383,3339.87200264381
"67","SPT_1012",394.193328483846,-0.382490033304093,0.136265493238574,-2.8069471163505,0.00500134515735364,0.139964115212412,328.209707715015,338.402111117276,321.900886434999,468.320367578935,436.75251180309,471.574386253759
"68","SPT_RS09220",468.887925991286,0.387874666857763,0.137883938811263,2.81305183331534,0.00490737400402776,0.139964115212412,484.668098847979,585.048425936584,570.676747145888,408.198158227586,408.375936177466,356.360189612216
"69","SPT_2168",975.108016430246,-0.387520172916452,0.138713527078243,-2.79367255003087,0.00521132183712164,0.143726745739746,939.926725678484,674.699731493772,823.221939079669,1166.05442873539,1294.21860136001,952.526672234156
"70","SPT_0894",2872.78637654709,0.325218690411042,0.116906390375092,2.7818726535614,0.00540462426186018,0.144859154511548,3005.64804018589,3514.0786389529,3212.22406814878,2580.50851189609,2189.93137980363,2734.32762029524
"71","SPT_1938",47298.5759290191,-0.26896167604796,0.096581694360028,-2.78481008052468,0.00535590834630265,0.144859154511548,43198.9852570279,44236.8162693244,40018.9895934471,52717.6846207099,51224.6540608828,52394.3257727224
"72","SPT_RS03305",162.044306146967,-0.464575894568593,0.168992876089178,-2.7490856734306,0.00597617636285912,0.155789912582478,119.990645831296,136.371000002484,98.0026117951987,137.648216146511,210.97367095573,269.279692150584
"73","SPT_1648",2562.53889804272,-0.291699087569054,0.105995895965678,-2.75198473404582,0.00592352821652057,0.155789912582478,2223.35608452107,2315.36071300514,2281.19925609439,2767.20379356608,2738.95642995158,3049.15711111806
