Gene,Value,AveExpr,t,P.Value,padj,B
Rv0659c,-1.013994323,13.17185817,-4.889882058,0.001132527,0.003624446,-0.999368809
Rv1165,-2.442039738,11.01210153,-4.886672627,0.001137214,0.003633182,-1.003765749
Rv3340,1.542990043,11.20628749,4.886216387,0.001137883,0.003633182,-1.004390923
Rv0854,-1.616068258,9.297619724,-4.886160839,0.001137964,0.003633182,-1.004467042
Rv0275c,1.725671687,10.53328985,4.883698026,0.001141578,0.003641833,-1.007842315
Rv1006,-1.475845,11.34426863,-4.882153624,0.001143851,0.003646194,-1.009959362
Rv0979A,-2.459154136,9.841906949,-4.880703023,0.00114599,0.003648872,-1.011948145
Rv3139,-1.112173683,12.53841433,-4.880355186,0.001146504,0.003648872,-1.012425077
Rv0558,-1.215734903,11.78570365,-4.878016873,0.001149963,0.003656291,-1.015631684
Rv1953,1.500166447,11.45198942,4.87740595,0.001150868,0.003656291,-1.016469596
Rv3529c,1.850222907,9.927921467,4.876940218,0.001151559,0.003656291,-1.017108406
Rv0605,-1.465556309,11.14070526,-4.873633687,0.001156477,0.003669013,-1.021644646
Rv1650,-1.381494924,10.17581598,-4.872513872,0.001158148,0.003671421,-1.023181286
Rv1813c,-1.044655003,14.6532087,-4.86853848,0.001164101,0.003687388,-1.028637901
Rv2942,-2.116044817,12.46538981,-4.867261117,0.001166021,0.003690565,-1.030391697
Rv2483c,-1.524750183,11.31799052,-4.865790569,0.001168235,0.00369467,-1.032411028
Rv1082,1.04697434,12.30799762,4.85955975,0.001177668,0.00372158,-1.040970582
Rv1942c,-1.632290929,10.98826714,-4.856215632,0.001182765,0.003734185,-1.045566881
Rv0394c,-1.158764659,8.121415643,-4.855726988,0.001183512,0.003734185,-1.046238632
Rv2651c,1.320024883,11.33244088,4.854878611,0.00118481,0.003735352,-1.047404998
Rv0178,-1.117494587,12.39171607,-4.853571161,0.001186813,0.003738739,-1.049202713
Rv2621c,1.733659122,10.9680552,4.8495828,0.001192946,0.003755121,-1.054688163
Rv3302c,-1.437967256,10.12385854,-4.844600101,0.001200656,0.00377644,-1.061544453
Rv0006,-1.66751392,12.7690268,-4.842289877,0.00120425,0.003784785,-1.064724595
Rv3030,-1.367610261,9.119134785,-4.839011076,0.00120937,0.003797911,-1.06923937
Rv2800,-1.377057864,9.2301493,-4.835596209,0.001214727,0.003811763,-1.07394317
Rv2223c,-1.189981615,10.04494789,-4.833377429,0.001218222,0.003819753,-1.077000335
Rv1777,1.155818455,7.563377365,4.83141093,0.001221329,0.003826513,-1.079710493
Rv2360c,-1.856506188,10.80378621,-4.824859487,0.001231741,0.003856134,-1.088743527
Rv0138,-1.995213375,9.763508346,-4.823970875,0.00123316,0.003857579,-1.089969213
Rv3810,-1.246456487,11.82994324,-4.82203093,0.001236266,0.003864291,-1.092645435
Rv2138,1.499550881,9.94226944,4.819203843,0.001240807,0.003875475,-1.09654648
Rv2225,1.434830517,11.38115291,4.817894187,0.001242916,0.003879055,-1.098354046
Rv3159c,1.068579973,11.60472586,4.815488851,0.001246801,0.003888166,-1.101674503
Rv3052c,1.07807431,14.0531349,4.814031122,0.001249162,0.003892513,-1.103687242
Rv3695,-1.674318991,10.7820453,-4.812752144,0.001251237,0.003893632,-1.105453428
Rv0979c,1.354833272,7.524649538,4.812617887,0.001251455,0.003893632,-1.105638843
Rv0018c,-2.255607883,11.44704272,-4.811186778,0.001253782,0.003895349,-1.107615423
Rv3053c,1.041715237,14.41808178,4.811010403,0.00125407,0.003895349,-1.107859045
Rv2628,-1.06764492,14.05274748,-4.810494338,0.00125491,0.003895349,-1.108571897
Rv3640c,1.466569371,7.664418039,4.807106442,0.001260443,0.003906115,-1.113252632
Rv0134,-1.00560767,12.28532297,-4.807080646,0.001260485,0.003906115,-1.113288279
Rv3754,-1.187587158,9.581013859,-4.806589795,0.001261289,0.003906115,-1.113966581
Rv0783c,-1.183993646,9.284327109,-4.804083877,0.001265402,0.00391584,-1.117430036
Rv1408,-1.565109155,11.25307301,-4.80261319,0.001267822,0.003918125,-1.119463115
Rv3096,-1.348982544,9.493345701,-4.802452588,0.001268087,0.003918125,-1.119685149
Rv2636,1.28006621,7.831397533,4.801849233,0.001269081,0.003918192,-1.120519334
